task,seed,subset,metric,value,n_test
CHEMBL204_Ki,117,cliff,rmse,0.9514522727004698,220
CHEMBL204_Ki,117,noncliff,rmse,0.7430277043597976,333
CHEMBL204_Ki,709,overall,rmse,0.8233154325786335,553
CHEMBL204_Ki,709,overall,mae,0.6065047150832613,553
CHEMBL204_Ki,709,overall,r2,0.7103841162045816,553
CHEMBL204_Ki,709,overall,spearman,0.8389266974023059,553
CHEMBL204_Ki,709,overall,pearson,0.845850897252289,553
CHEMBL204_Ki,709,cliff,rmse,0.9356957217944265,220
CHEMBL204_Ki,709,noncliff,rmse,0.7397635453511922,333
CHEMBL2147_Ki,42,overall,rmse,0.700351309536049,294
CHEMBL2147_Ki,42,overall,mae,0.5304119131344974,294
CHEMBL2147_Ki,42,overall,r2,0.8751198721128014,294
CHEMBL2147_Ki,42,overall,spearman,0.9146528652532339,294
CHEMBL2147_Ki,42,overall,pearson,0.935702467968069,294
CHEMBL2147_Ki,42,cliff,rmse,0.754019675827895,116
CHEMBL2147_Ki,42,noncliff,rmse,0.6630426011696466,178
CHEMBL2147_Ki,117,overall,rmse,0.6982302000972297,294
CHEMBL2147_Ki,117,overall,mae,0.519563777446077,294
CHEMBL2147_Ki,117,overall,r2,0.8758751596237745,294
CHEMBL2147_Ki,117,overall,spearman,0.9135502318009404,294
CHEMBL2147_Ki,117,overall,pearson,0.9359667401552272,294
CHEMBL2147_Ki,117,cliff,rmse,0.7671703448746441,116
CHEMBL2147_Ki,117,noncliff,rmse,0.649375810972616,178
CHEMBL2147_Ki,709,overall,rmse,0.6915911618790487,294
CHEMBL2147_Ki,709,overall,mae,0.5258023085540866,294
CHEMBL2147_Ki,709,overall,r2,0.8782243899367133,294
CHEMBL2147_Ki,709,overall,spearman,0.9149569748649157,294
CHEMBL2147_Ki,709,overall,pearson,0.9376699177537734,294
CHEMBL2147_Ki,709,cliff,rmse,0.736012374972459,116
CHEMBL2147_Ki,709,noncliff,rmse,0.6610379201610339,178
CHEMBL214_Ki,42,overall,rmse,0.7234011635739674,666
CHEMBL214_Ki,42,overall,mae,0.5550066301155936,666
CHEMBL214_Ki,42,overall,r2,0.5953077601479191,666
CHEMBL214_Ki,42,overall,spearman,0.762469385100175,666
CHEMBL214_Ki,42,overall,pearson,0.7720460333020978,666
CHEMBL214_Ki,42,cliff,rmse,0.8179782288116619,245
CHEMBL214_Ki,42,noncliff,rmse,0.6621732418868331,421
CHEMBL214_Ki,117,overall,rmse,0.7187823740209404,666
CHEMBL214_Ki,117,overall,mae,0.5440412238818327,666
CHEMBL214_Ki,117,overall,r2,0.6004590404160273,666
CHEMBL214_Ki,117,overall,spearman,0.7684785325280868,666
CHEMBL214_Ki,117,overall,pearson,0.776233252915173,666
CHEMBL214_Ki,117,cliff,rmse,0.8146932064979686,245
CHEMBL214_Ki,117,noncliff,rmse,0.6565493277566248,421
CHEMBL214_Ki,709,overall,rmse,0.7202798443918682,666
CHEMBL214_Ki,709,overall,mae,0.5469987440428723,666
CHEMBL214_Ki,709,overall,r2,0.5987925443986113,666
CHEMBL214_Ki,709,overall,spearman,0.7654912840267533,666
CHEMBL214_Ki,709,overall,pearson,0.7745335508946565,666
CHEMBL214_Ki,709,cliff,rmse,0.8195969618103909,245
CHEMBL214_Ki,709,noncliff,rmse,0.6555930300621139,421
CHEMBL218_EC50,42,overall,rmse,0.7446755487292183,208
CHEMBL218_EC50,42,overall,mae,0.5760126234726592,208
CHEMBL218_EC50,42,overall,r2,0.4924748194404842,208
CHEMBL218_EC50,42,overall,spearman,0.6913142159137582,208
CHEMBL218_EC50,42,overall,pearson,0.7091587415300019,208
CHEMBL218_EC50,42,cliff,rmse,0.765707206806306,76
CHEMBL218_EC50,42,noncliff,rmse,0.7322924565831078,132
CHEMBL218_EC50,117,overall,rmse,0.7306580678100574,208
