embedding,mode,klass,pair_id,effect,n_live_dims
ECFP4+stereo,stereo_flip,A,stereo_flip_070,0.8669404204138206,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_071,0.3694937867419259,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_072,0.7721712457184896,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_073,0.0,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_074,0.5610894588231458,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_075,0.5391605906831832,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_076,0.7040140874426449,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_077,0.0,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_078,0.833829334778147,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_079,0.7855534168852363,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_080,0.8055904116808421,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_081,0.9007930224001206,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_082,0.6586934683838649,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_083,0.8871564241687573,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_084,0.22201282924991425,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_085,0.3461891198217647,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_086,1.0403145390635427,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_087,0.6122573335356117,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_088,0.848721821122,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_089,0.8979616996982607,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_090,0.924560171569738,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_091,0.23084850115326938,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_092,0.0,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_093,0.8499542865631027,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_094,0.0,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_095,0.17965912391510136,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_096,0.8871711454008705,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_097,0.9008168939446599,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_098,0.42051387769193205,2027
ECFP4+stereo,stereo_flip,A,stereo_flip_099,0.8394876102592483,2027
ECFP4+stereo,ez_flip,A,ez_flip_000,1.0102203187412764,2027
ECFP4+stereo,ez_flip,A,ez_flip_001,0.9421054985583512,2027
ECFP4+stereo,ez_flip,A,ez_flip_002,0.5038968215169659,2027
ECFP4+stereo,ez_flip,A,ez_flip_003,1.0889288141943108,2027
ECFP4+stereo,ez_flip,A,ez_flip_004,1.01675072660416,2027
ECFP4+stereo,ez_flip,A,ez_flip_005,0.5820375338556794,2027
ECFP4+stereo,ez_flip,A,ez_flip_006,0.5038968215169659,2027
ECFP4+stereo,ez_flip,A,ez_flip_007,0.854154365734232,2027
ECFP4+stereo,ez_flip,A,ez_flip_008,0.9421054985583512,2027
ECFP4+stereo,ez_flip,A,ez_flip_009,0.9804323347240479,2027
ECFP4+stereo,ez_flip,A,ez_flip_010,0.6532342143786432,2027
ECFP4+stereo,ez_flip,A,ez_flip_011,0.8094484072613944,2027
ECFP4+stereo,ez_flip,A,ez_flip_012,1.0005646129205485,2027
ECFP4+stereo,ez_flip,A,ez_flip_013,0.9509539140829343,2027
ECFP4+stereo,ez_flip,A,ez_flip_014,1.157004148269578,2027
ECFP4+stereo,ez_flip,A,ez_flip_015,1.053741436678151,2027
ECFP4+stereo,ez_flip,A,ez_flip_016,1.0839499525609086,2027
ECFP4+stereo,ez_flip,A,ez_flip_017,0.8436401825126192,2027
ECFP4+stereo,ez_flip,A,ez_flip_018,0.8843101320210398,2027
ECFP4+stereo,ez_flip,A,ez_flip_019,0.9509539140829343,2027
ECFP4+stereo,ez_flip,A,ez_flip_020,1.113568378532742,2027
ECFP4+stereo,ez_flip,A,ez_flip_021,1.062161803244531,2027
ECFP4+stereo,ez_flip,A,ez_flip_022,1.024468931729121,2027
ECFP4+stereo,ez_flip,A,ez_flip_023,0.9225378273326735,2027
ECFP4+stereo,ez_flip,A,ez_flip_024,1.0431122276017986,2027
ECFP4+stereo,ez_flip,A,ez_flip_025,1.1138866765243922,2027
ECFP4+stereo,ez_flip,A,ez_flip_026,1.0839499525609086,2027
ECFP4+stereo,ez_flip,A,ez_flip_027,0.8172451026753718,2027
ECFP4+stereo,ez_flip,A,ez_flip_028,0.9666372169376448,2027
ECFP4+stereo,ez_flip,A,ez_flip_029,0.9175329995504162,2027
ECFP4+stereo,ez_flip,A,ez_flip_030,0.82861381413263,2027
ECFP4+stereo,ez_flip,A,ez_flip_031,0.841061477286927,2027
ECFP4+stereo,ez_flip,A,ez_flip_032,1.0920891858878576,2027
ECFP4+stereo,ez_flip,A,ez_flip_033,0.5038968215169659,2027
ECFP4+stereo,ez_flip,A,ez_flip_034,0.9347644669792943,2027
ECFP4+stereo,ez_flip,A,ez_flip_035,1.2214184798746444,2027
ECFP4+stereo,ez_flip,A,ez_flip_036,0.7696664375997928,2027
ECFP4+stereo,ez_flip,A,ez_flip_037,1.0135958148216877,2027
ECFP4+stereo,ez_flip,A,ez_flip_038,1.2533593476947764,2027
ECFP4+stereo,ez_flip,A,ez_flip_039,0.9652531006114956,2027
ECFP4+stereo,ez_flip,A,ez_flip_040,1.20564622270296,2027
ECFP4+stereo,ez_flip,A,ez_flip_041,0.7726297360176713,2027
ECFP4+stereo,ez_flip,A,ez_flip_042,0.8164894611273015,2027
ECFP4+stereo,ez_flip,A,ez_flip_043,1.1440323963243542,2027
ECFP4+stereo,ez_flip,A,ez_flip_044,1.1180532145004098,2027
ECFP4+stereo,ez_flip,A,ez_flip_045,0.9536339152624476,2027
ECFP4+stereo,ez_flip,A,ez_flip_046,0.863542555255422,2027
ECFP4+stereo,ez_flip,A,ez_flip_047,0.846283677144974,2027
ECFP4+stereo,ez_flip,A,ez_flip_048,1.1496717155388552,2027
ECFP4+stereo,ez_flip,A,ez_flip_049,0.8585299083705525,2027
ECFP4+stereo,ez_flip,A,ez_flip_050,0.957213060904636,2027
ECFP4+stereo,ez_flip,A,ez_flip_051,1.2349462353478318,2027
ECFP4+stereo,ez_flip,A,ez_flip_052,1.0175688500663957,2027
ECFP4+stereo,ez_flip,A,ez_flip_053,0.7530307649607467,2027
ECFP4+stereo,ez_flip,A,ez_flip_054,0.9713446982317172,2027
ECFP4+stereo,ez_flip,A,ez_flip_055,0.5459495978957918,2027
ECFP4+stereo,ez_flip,A,ez_flip_056,0.532238714730452,2027
ECFP4+stereo,ez_flip,A,ez_flip_057,1.123209828587965,2027
ECFP4+stereo,ez_flip,A,ez_flip_058,0.7956315828333085,2027
ECFP4+stereo,ez_flip,A,ez_flip_059,0.647223097755631,2027
ECFP4+stereo,ez_flip,A,ez_flip_060,1.2068780517852795,2027
ECFP4+stereo,ez_flip,A,ez_flip_061,1.4692386971365219,2027
ECFP4+stereo,ez_flip,A,ez_flip_062,0.7239412203441924,2027
ECFP4+stereo,ez_flip,A,ez_flip_063,0.8718236793158374,2027
ECFP4+stereo,ez_flip,A,ez_flip_064,1.1243479571611563,2027
ECFP4+stereo,ez_flip,A,ez_flip_065,0.9093178988913785,2027
ECFP4+stereo,ez_flip,A,ez_flip_066,0.9782469704335012,2027
ECFP4+stereo,ez_flip,A,ez_flip_067,1.0257324142123694,2027
ECFP4+stereo,ez_flip,A,ez_flip_068,0.8924947402130299,2027
ECFP4+stereo,ez_flip,A,ez_flip_069,1.0431122276017986,2027
ECFP4+stereo,ez_flip,A,ez_flip_070,0.8227897619754398,2027
ECFP4+stereo,ez_flip,A,ez_flip_071,0.8741270992680326,2027
ECFP4+stereo,ez_flip,A,ez_flip_072,1.157004148269578,2027
ECFP4+stereo,ez_flip,A,ez_flip_073,1.0139753964642717,2027
ECFP4+stereo,ez_flip,A,ez_flip_074,0.9175329995504162,2027
ECFP4+stereo,ez_flip,A,ez_flip_075,1.2106020323968179,2027
ECFP4+stereo,ez_flip,A,ez_flip_076,1.157004148269578,2027
ECFP4+stereo,ez_flip,A,ez_flip_077,0.728302662966628,2027
ECFP4+stereo,ez_flip,A,ez_flip_078,0.8587005238778769,2027
ECFP4+stereo,ez_flip,A,ez_flip_079,0.5544197113132082,2027
ECFP4+stereo,ez_flip,A,ez_flip_080,0.9713446982317172,2027
ECFP4+stereo,ez_flip,A,ez_flip_081,0.8587005238778769,2027
ECFP4+stereo,ez_flip,A,ez_flip_082,1.157004148269578,2027
ECFP4+stereo,ez_flip,A,ez_flip_083,0.7326020658942417,2027
ECFP4+stereo,ez_flip,A,ez_flip_084,0.7639832072910903,2027
ECFP4+stereo,ez_flip,A,ez_flip_085,1.0362146323389634,2027
