mode,klass,pair_id,smiles_a,smiles_b,note
stereo_flip,A,stereo_flip_093,CCCN[C@@]12Cc3c([nH]c4ccccc34)[C@@H]3Oc4c(O)ccc5c4C31CCN(CC1CC1)C2C5,CCCN[C@]12Cc3c([nH]c4ccccc34)[C@@H]3Oc4c(O)ccc5c4C31CCN(CC1CC1)C2C5,inverted stereocentre at atom 4
stereo_flip,A,stereo_flip_094,CC1(C)[C@@H]2C[C@H]3OB([C@H](CCCCN)NC(=O)Cn4nc(CC#N)nc4CCc4ccccc4)O[C@@]3(C)[C@H]1C2,CC1(C)[C@H]2C[C@H]3OB([C@H](CCCCN)NC(=O)Cn4nc(CC#N)nc4CCc4ccccc4)O[C@@]3(C)[C@H]1C2,inverted stereocentre at atom 3
stereo_flip,A,stereo_flip_095,CO[C@]12CC[C@@]3(C[C@@H]1CNS(=O)(=O)c1ccc(C)cc1)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,CO[C@@]12CC[C@@]3(C[C@@H]1CNS(=O)(=O)c1ccc(C)cc1)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,inverted stereocentre at atom 2
stereo_flip,A,stereo_flip_096,CC(=O)N1CCN(C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc(C)c2)CC1,CC(=O)N1CCN(C(=O)[C@@H](CCCNC(=N)N)NS(=O)(=O)c2cccc(C)c2)CC1,inverted stereocentre at atom 9
stereo_flip,A,stereo_flip_097,Oc1ccc2c(c1)[C@]1(CCCCCc3ccccc3)CCN(CCc3ccccc3F)C[C@@H]1O2,Oc1ccc2c(c1)[C@@]1(CCCCCc3ccccc3)CCN(CCc3ccccc3F)C[C@@H]1O2,inverted stereocentre at atom 7
stereo_flip,A,stereo_flip_098,N[C@@H]1CCN(c2nc(-c3n[nH]c4cnc(-c5cccnc5)cc34)ccc2Br)C1,N[C@H]1CCN(c2nc(-c3n[nH]c4cnc(-c5cccnc5)cc34)ccc2Br)C1,inverted stereocentre at atom 1
stereo_flip,A,stereo_flip_099,CCCCCCCN1C[C@H](C)[C@](C)(c2cccc(O)c2)C[C@H]1CCC,CCCCCCCN1C[C@@H](C)[C@](C)(c2cccc(O)c2)C[C@H]1CCC,inverted stereocentre at atom 9
ez_flip,A,ez_flip_000,COC(=O)/C=C1/CN2C3CCC2C1C(c1ccc(Br)cc1)C3,COC(=O)/C=C1\CN2C3CCC2C1C(c1ccc(Br)cc1)C3,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_001,CCCCCS(=O)(=O)NC(=O)/C=C/c1ccc(OCCOC2CC2)cc1Oc1ncc(C(F)(F)F)cc1Cl,CCCCCS(=O)(=O)NC(=O)/C=C\c1ccc(OCCOC2CC2)cc1Oc1ncc(C(F)(F)F)cc1Cl,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_002,C(=C\c1ccccc1)\c1ccccc1,C(=C/c1ccccc1)\c1ccccc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_003,CCOC(=O)[C@]1(C)CCC[C@@]2(C)[C@@H]3CC[C@@]4(C)C[C@]3(CC[C@@H]21)C/C4=N\OCc1csc2ccc(Cl)cc12,CCOC(=O)[C@]1(C)CCC[C@@]2(C)[C@@H]3CC[C@@]4(C)C[C@]3(CC[C@@H]21)C/C4=N/OCc1csc2ccc(Cl)cc12,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_004,COc1cccc(C(=O)NC/C=C/CN2CCN(c3cccc(Cl)c3Cl)CC2)c1,COc1cccc(C(=O)NC/C=C\CN2CCN(c3cccc(Cl)c3Cl)CC2)c1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_005,COc1ccccc1-c1noc(C(C)C)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,COc1ccccc1-c1noc(C(C)C)c1COc1ccc(/C=C\c2cccc(C(=O)O)c2)c(Cl)c1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_006,CC(C)(Oc1ccc(CCCOc2ccc(/C=C/c3ccccc3)cc2)cc1)C(=O)O,CC(C)(Oc1ccc(CCCOc2ccc(/C=C\c3ccccc3)cc2)cc1)C(=O)O,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_007,COc1ccc(/C(C)=N/OCCCCO/N=C(/CCC(=O)O)c2ccccc2)cc1OC,COc1ccc(/C(C)=N\OCCCCO/N=C(/CCC(=O)O)c2ccccc2)cc1OC,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_008,CCCCCS(=O)(=O)NC(=O)/C=C/c1ccc(OCCC(C)=O)cc1Oc1ncc(C(F)(F)F)cc1Cl,CCCCCS(=O)(=O)NC(=O)/C=C\c1ccc(OCCC(C)=O)cc1Oc1ncc(C(F)(F)F)cc1Cl,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_009,C/C(=N\OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1cccnc1,C/C(=N/OCCOc1ccc(CC2SC(=O)NC2=O)cc1)c1cccnc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_010,Clc1ccc(C(c2ccc3nccc(/C=C/c4ccccc4)c3c2)c2cscn2)cc1,Clc1ccc(C(c2ccc3nccc(/C=C\c4ccccc4)c3c2)c2cscn2)cc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_011,C(=C/c1ccccc1)\COCC1CCN(CCCc2ccccc2)CC1,C(=C\c1ccccc1)\COCC1CCN(CCCc2ccccc2)CC1,flipped double-bond geometry E<->Z
