klass,mode,embedding,n,median_separation,median_cosine,identical,success,magnitude_eps0.001,magnitude_eps0.01,magnitude_eps0.05
A,add_fluorine,ECFP4+desc,100,0.09943921118974686,0.09456074237823486,0,100.0,100.0,100.0,90.0
A,add_fluorine,CLIMB sup,100,0.05088143050670624,0.0065604448318481445,0,100.0,100.0,100.0,51.0
A,add_fluorine,CLIMB unsup,100,0.10424595698714256,0.03233957290649414,0,100.0,100.0,100.0,86.0
A,add_fluorine,CheMeleon,100,0.07763306051492691,0.029427289962768555,0,100.0,100.0,100.0,81.0
A,add_fluorine,random encoder,100,0.028262564912438393,0.0037757158279418945,0,100.0,100.0,89.0,31.0
A,add_fluorine,ECFP4 stereo-blind,100,0.1842888444662094,0.14516568183898926,0,100.0,100.0,100.0,100.0
A,isotope_13c,ECFP4+stereo,100,0.0,0.0,96,4.0,4.0,4.0,4.0
A,isotope_13c,ECFP4+desc,100,0.00020488566224230453,0.00019374489784240723,0,94.0,18.0,6.0,0.0
A,isotope_13c,CLIMB sup,100,0.05321252532303333,0.008545488119125366,0,100.0,100.0,97.0,56.0
A,isotope_13c,CLIMB unsup,100,0.22854792326688766,0.0703963041305542,0,100.0,100.0,100.0,96.0
A,isotope_13c,CheMeleon,100,3.2558098439494643e-07,1.1920928955078125e-07,0,17.0,0.0,0.0,0.0
A,isotope_13c,random encoder,100,0.13523811101913452,0.01831233501434326,0,100.0,100.0,100.0,92.0
A,isotope_13c,ECFP4 stereo-blind,100,0.0,0.0,100,0.0,0.0,0.0,0.0
A,ring_size,ECFP4+stereo,100,0.010917246341705322,0.008510947227478027,7,93.0,93.0,68.0,2.0
A,ring_size,ECFP4+desc,100,0.00601732823997736,0.005655735731124878,0,100.0,100.0,13.0,0.0
A,ring_size,CLIMB sup,100,0.007707097101956606,0.001004248857498169,0,100.0,96.0,30.0,0.0
A,ring_size,CLIMB unsup,100,0.013174642343074083,0.004341870546340942,0,100.0,100.0,64.0,0.0
A,ring_size,CheMeleon,100,0.01814498845487833,0.0076905786991119385,0,99.0,99.0,89.0,3.0
A,ring_size,random encoder,100,0.03070502169430256,0.004729956388473511,0,100.0,100.0,97.0,19.0
A,ring_size,ECFP4 stereo-blind,100,0.010806891601532698,0.00851091742515564,7,93.0,93.0,69.0,0.0
A,regioisomer,ECFP4+stereo,100,0.5507924258708954,0.4455103874206543,0,100.0,100.0,100.0,100.0
A,regioisomer,ECFP4+desc,100,0.06314826011657715,0.06580418348312378,0,100.0,100.0,100.0,86.0
A,regioisomer,CLIMB sup,100,0.06964443624019623,0.022225797176361084,0,100.0,100.0,100.0,74.0
A,regioisomer,CLIMB unsup,100,0.28670263290405273,0.12824463844299316,0,100.0,100.0,100.0,100.0
A,regioisomer,CheMeleon,100,0.14650201052427292,0.09179297089576721,0,100.0,100.0,100.0,100.0
A,regioisomer,random encoder,100,0.1319366917014122,0.022628039121627808,0,100.0,100.0,100.0,100.0
A,regioisomer,ECFP4 stereo-blind,100,0.5509657263755798,0.4455103874206543,0,100.0,100.0,100.0,100.0
A,matched_mw,ECFP4+stereo,100,0.9829752147197723,0.8604646325111389,0,100.0,100.0,100.0,100.0
A,matched_mw,ECFP4+desc,100,0.41640549898147583,0.4365050792694092,0,100.0,100.0,100.0,100.0
A,matched_mw,CLIMB sup,100,0.3166522979736328,0.1703275442123413,0,100.0,100.0,100.0,92.0
A,matched_mw,CLIMB unsup,100,0.7998069524765015,0.557040274143219,0,100.0,100.0,100.0,100.0
A,matched_mw,CheMeleon,100,0.6655069887638092,0.4444263279438019,0,100.0,100.0,100.0,100.0
