input,klass,mode,embedding,short,relative_response,q1,q3,ci_lo,ci_hi,n,reference_matched_mw
canonical,A,add_methyl,CLIMB unsup (canon-ctrl),uns-CANON,0.2161,0.1331,0.3354,0.2026,0.2304,1000,1.9497
canonical,A,c_to_n,CLIMB unsup (canon-ctrl),uns-CANON,0.0355,0.0275,0.0755,0.0343,0.0372,1000,1.9497
canonical,A,ez_flip,CLIMB unsup (canon-ctrl),uns-CANON,0.0627,0.0503,0.0808,0.0606,0.065,1000,1.9497
canonical,A,isotope_13c,CLIMB unsup (canon-ctrl),uns-CANON,0.2789,0.203,0.3842,0.2657,0.2898,1000,1.9497
canonical,B,kekule,CLIMB unsup (canon-ctrl),uns-CANON,0.0,0.0,0.0,0.0,0.0,1000,1.9497
canonical,A,matched_descriptors,CLIMB unsup (canon-ctrl),uns-CANON,0.4719,0.3972,0.5699,0.461,0.4884,1000,1.9497
canonical,A,matched_mw,CLIMB unsup (canon-ctrl),uns-CANON,1.0,0.7599,1.2802,0.9697,1.036,1000,1.9497
canonical,A,regioisomer,CLIMB unsup (canon-ctrl),uns-CANON,0.4291,0.3632,0.5225,0.4151,0.4463,1000,1.9497
canonical,A,ring_size,CLIMB unsup (canon-ctrl),uns-CANON,0.0577,0.0499,0.0714,0.0559,0.0597,1000,1.9497
canonical,B,smiles_enumeration,CLIMB unsup (canon-ctrl),uns-CANON,0.0,0.0,0.0,0.0,0.0,1000,1.9497
canonical,A,stereo_flip,CLIMB unsup (canon-ctrl),uns-CANON,0.0333,0.0278,0.0407,0.0325,0.0345,1000,1.9497
canonical,B,symmetry_equivalent,CLIMB unsup (canon-ctrl),uns-CANON,0.0,0.0,0.0,0.0,0.0,1000,1.9497
as_written,A,add_fluorine,CLIMB unsup (canon-ctrl),uns-CANON,0.1719,0.1347,0.2279,0.1671,0.1783,1000,1.9497
as_written,A,add_methyl,CLIMB unsup (canon-ctrl),uns-CANON,0.2161,0.1331,0.3354,0.2025,0.2302,1000,1.9497
as_written,A,c_to_n,CLIMB unsup (canon-ctrl),uns-CANON,0.0355,0.0275,0.0755,0.0342,0.0372,1000,1.9497
as_written,A,ez_flip,CLIMB unsup (canon-ctrl),uns-CANON,0.0627,0.0503,0.0808,0.0608,0.0649,1000,1.9497
as_written,A,isotope_13c,CLIMB unsup (canon-ctrl),uns-CANON,0.2789,0.203,0.3842,0.2656,0.2905,1000,1.9497
as_written,B,kekule,CLIMB unsup (canon-ctrl),uns-CANON,0.6732,0.5394,0.802,0.6534,0.6996,1000,1.9497
as_written,A,matched_descriptors,CLIMB unsup (canon-ctrl),uns-CANON,0.4719,0.3972,0.5699,0.4613,0.4876,1000,1.9497
as_written,A,matched_mw,CLIMB unsup (canon-ctrl),uns-CANON,1.0,0.7599,1.2802,0.9674,1.0322,1000,1.9497
as_written,A,regioisomer,CLIMB unsup (canon-ctrl),uns-CANON,0.4291,0.3632,0.5225,0.4149,0.4459,1000,1.9497
as_written,A,ring_size,CLIMB unsup (canon-ctrl),uns-CANON,0.0577,0.0499,0.0714,0.056,0.0597,1000,1.9497
as_written,B,smiles_enumeration,CLIMB unsup (canon-ctrl),uns-CANON,0.4154,0.3434,0.4964,0.402,0.4297,1000,1.9497
as_written,A,stereo_flip,CLIMB unsup (canon-ctrl),uns-CANON,0.0333,0.0278,0.0407,0.0325,0.0345,1000,1.9497
as_written,B,symmetry_equivalent,CLIMB unsup (canon-ctrl),uns-CANON,0.0,0.0,0.0,0.0,0.0,1000,1.9497
canonical,A,add_fluorine,CLIMB unsup (enum-aug),uns-ENUM,0.1058,0.0823,0.1401,0.1011,0.1103,1000,2.3076
canonical,A,add_methyl,CLIMB unsup (enum-aug),uns-ENUM,0.1479,0.0923,0.2234,0.1389,0.1571,1000,2.3076
canonical,A,c_to_n,CLIMB unsup (enum-aug),uns-ENUM,0.0848,0.0685,0.1148,0.0809,0.0885,1000,2.3076
canonical,A,ez_flip,CLIMB unsup (enum-aug),uns-ENUM,0.0386,0.0314,0.0498,0.037,0.04,1000,2.3076
canonical,A,isotope_13c,CLIMB unsup (enum-aug),uns-ENUM,0.2103,0.1619,0.2884,0.2006,0.218,1000,2.3076
canonical,B,kekule,CLIMB unsup (enum-aug),uns-ENUM,0.0,0.0,0.0,0.0,0.0,1000,2.3076
canonical,A,matched_descriptors,CLIMB unsup (enum-aug),uns-ENUM,0.3508,0.2878,0.4315,0.3376,0.3625,1000,2.3076
canonical,A,matched_mw,CLIMB unsup (enum-aug),uns-ENUM,1.0,0.7139,1.3145,0.9583,1.0423,1000,2.3076
canonical,A,regioisomer,CLIMB unsup (enum-aug),uns-ENUM,0.3774,0.3265,0.4544,0.3638,0.3908,1000,2.3076
canonical,A,ring_size,CLIMB unsup (enum-aug),uns-ENUM,0.043,0.0371,0.0557,0.0413,0.0444,1000,2.3076
canonical,B,smiles_enumeration,CLIMB unsup (enum-aug),uns-ENUM,0.0,0.0,0.0,0.0,0.0,1000,2.3076
canonical,A,stereo_flip,CLIMB unsup (enum-aug),uns-ENUM,0.0318,0.0262,0.0392,0.0305,0.0331,1000,2.3076
canonical,B,symmetry_equivalent,CLIMB unsup (enum-aug),uns-ENUM,0.0,0.0,0.0,0.0,0.0,1000,2.3076
as_written,A,add_fluorine,CLIMB unsup (enum-aug),uns-ENUM,0.1058,0.0823,0.1401,0.1008,0.1103,1000,2.3076
