input,klass,mode,embedding,short,relative_response,q1,q3,ci_lo,ci_hi,n,reference_matched_mw
canonical,B,symmetry_equivalent,Morgan r3-counts,r3fp,0.0,0.0,0.0,0.0,0.0,1000,0.7986
as_written,A,add_fluorine,Morgan r3-counts,r3fp,0.9036,0.8236,0.9951,0.8839,0.9176,1000,0.7986
as_written,A,add_methyl,Morgan r3-counts,r3fp,0.9107,0.8226,0.9902,0.8924,0.9278,1000,0.7986
as_written,A,c_to_n,Morgan r3-counts,r3fp,0.9012,0.8222,0.9977,0.8803,0.9191,1000,0.7986
as_written,A,ez_flip,Morgan r3-counts,r3fp,0.9625,0.8923,1.0292,0.9419,0.9756,1000,0.7986
as_written,A,isotope_13c,Morgan r3-counts,r3fp,0.0,0.0,0.0,0.0,0.0,1000,0.7986
as_written,B,kekule,Morgan r3-counts,r3fp,0.0,0.0,0.0,0.0,0.0,1000,0.7986
as_written,A,matched_descriptors,Morgan r3-counts,r3fp,1.4735,1.2716,1.6375,1.4358,1.4974,1000,0.7986
as_written,A,matched_mw,Morgan r3-counts,r3fp,1.0,0.851,1.1404,0.9762,1.024,1000,0.7986
as_written,A,regioisomer,Morgan r3-counts,r3fp,0.8874,0.821,0.9605,0.8674,0.8999,1000,0.7986
as_written,A,ring_size,Morgan r3-counts,r3fp,0.3813,0.2999,0.386,0.3737,0.3863,1000,0.7986
as_written,B,smiles_enumeration,Morgan r3-counts,r3fp,0.0,0.0,0.0,0.0,0.0,1000,0.7986
as_written,A,stereo_flip,Morgan r3-counts,r3fp,0.8229,0.6454,0.9165,0.8023,0.837,1000,0.7986
as_written,B,symmetry_equivalent,Morgan r3-counts,r3fp,0.0,0.0,0.0,0.0,0.0,1000,0.7986
canonical,A,add_fluorine,random encoder,rand,0.0735,0.0549,0.1057,0.0704,0.0781,1000,2.4141
canonical,A,add_methyl,random encoder,rand,0.1163,0.0599,0.2002,0.1081,0.1282,1000,2.4141
canonical,A,c_to_n,random encoder,rand,0.075,0.0605,0.0955,0.0721,0.0788,1000,2.4141
canonical,A,ez_flip,random encoder,rand,0.0686,0.0579,0.0908,0.067,0.0732,1000,2.4141
canonical,A,isotope_13c,random encoder,rand,0.1767,0.1344,0.2489,0.1704,0.1857,1000,2.4141
canonical,B,kekule,random encoder,rand,0.0,0.0,0.0,0.0,0.0,1000,2.4141
canonical,A,matched_descriptors,random encoder,rand,0.3218,0.2588,0.4049,0.3098,0.3395,1000,2.4141
canonical,A,matched_mw,random encoder,rand,1.0,0.6606,1.3181,0.9515,1.0538,1000,2.4141
canonical,A,regioisomer,random encoder,rand,0.2479,0.2102,0.343,0.2405,0.2848,1000,2.4141
canonical,A,ring_size,random encoder,rand,0.0802,0.0665,0.107,0.0772,0.0849,1000,2.4141
canonical,B,smiles_enumeration,random encoder,rand,0.0,0.0,0.0,0.0,0.0,1000,2.4141
canonical,A,stereo_flip,random encoder,rand,0.0647,0.0554,0.0794,0.0628,0.068,1000,2.4141
canonical,B,symmetry_equivalent,random encoder,rand,0.0,0.0,0.0,0.0,0.0,1000,2.4141
as_written,A,add_fluorine,random encoder,rand,0.0735,0.0549,0.1057,0.0704,0.0777,1000,2.4141
as_written,A,add_methyl,random encoder,rand,0.1163,0.0599,0.2002,0.108,0.129,1000,2.4141
as_written,A,c_to_n,random encoder,rand,0.075,0.0605,0.0955,0.0721,0.0787,1000,2.4141
as_written,A,ez_flip,random encoder,rand,0.0686,0.0579,0.0908,0.067,0.0732,1000,2.4141
as_written,A,isotope_13c,random encoder,rand,0.1767,0.1344,0.2489,0.1705,0.186,1000,2.4141
as_written,B,kekule,random encoder,rand,0.7753,0.613,0.9275,0.7463,0.8147,1000,2.4141
as_written,A,matched_descriptors,random encoder,rand,0.3218,0.2588,0.4049,0.3095,0.3397,1000,2.4141
as_written,A,matched_mw,random encoder,rand,1.0,0.6606,1.3181,0.9505,1.0518,1000,2.4141
as_written,A,regioisomer,random encoder,rand,0.2479,0.2102,0.343,0.2403,0.2848,1000,2.4141
as_written,A,ring_size,random encoder,rand,0.0802,0.0665,0.107,0.0771,0.0851,1000,2.4141
as_written,B,smiles_enumeration,random encoder,rand,0.2539,0.2036,0.318,0.2448,0.2679,1000,2.4141
as_written,A,stereo_flip,random encoder,rand,0.0647,0.0554,0.0794,0.0627,0.068,1000,2.4141
as_written,B,symmetry_equivalent,random encoder,rand,0.0,0.0,0.0,0.0,0.0,1000,2.4141
