task,features,metric,fold,value
Tox21,CLMsup,nef1,4,0.589759
Tox21,fp+CLMsup,roc_auc,0,0.682561
Tox21,fp+CLMsup,roc_auc,1,0.814956
Tox21,fp+CLMsup,roc_auc,2,0.807796
Tox21,fp+CLMsup,roc_auc,3,0.798735
Tox21,fp+CLMsup,roc_auc,4,0.803802
Tox21,fp+CLMsup,nef1,0,0.345635
Tox21,fp+CLMsup,nef1,1,0.75612
Tox21,fp+CLMsup,nef1,2,0.708179
Tox21,fp+CLMsup,nef1,3,0.639377
Tox21,fp+CLMsup,nef1,4,0.665995
Tox21,desc+CLMsup,roc_auc,0,0.696602
Tox21,desc+CLMsup,roc_auc,1,0.83793
Tox21,desc+CLMsup,roc_auc,2,0.827989
Tox21,desc+CLMsup,roc_auc,3,0.827654
Tox21,desc+CLMsup,roc_auc,4,0.822086
Tox21,desc+CLMsup,nef1,0,0.406136
Tox21,desc+CLMsup,nef1,1,0.737973
Tox21,desc+CLMsup,nef1,2,0.771046
Tox21,desc+CLMsup,nef1,3,0.754228
Tox21,desc+CLMsup,nef1,4,0.763065
Tox21,fp+desc+CLMsup,roc_auc,0,0.703283
Tox21,fp+desc+CLMsup,roc_auc,1,0.838717
Tox21,fp+desc+CLMsup,roc_auc,2,0.831243
Tox21,fp+desc+CLMsup,roc_auc,3,0.825922
Tox21,fp+desc+CLMsup,roc_auc,4,0.82011
Tox21,fp+desc+CLMsup,nef1,0,0.430861
Tox21,fp+desc+CLMsup,nef1,1,0.737973
Tox21,fp+desc+CLMsup,nef1,2,0.786334
Tox21,fp+desc+CLMsup,nef1,3,0.767048
Tox21,fp+desc+CLMsup,nef1,4,0.794475
HIV,CLMsup,roc_auc,0,0.750983
HIV,CLMsup,roc_auc,1,0.7454
HIV,CLMsup,roc_auc,2,0.821761
HIV,CLMsup,roc_auc,3,0.749225
HIV,CLMsup,roc_auc,4,0.801843
HIV,CLMsup,nef1,0,0.566265
HIV,CLMsup,nef1,1,0.566265
HIV,CLMsup,nef1,2,0.722892
HIV,CLMsup,nef1,3,0.650602
HIV,CLMsup,nef1,4,0.722892
HIV,fp+CLMsup,roc_auc,0,0.769062
HIV,fp+CLMsup,roc_auc,1,0.796745
HIV,fp+CLMsup,roc_auc,2,0.839358
HIV,fp+CLMsup,roc_auc,3,0.770454
HIV,fp+CLMsup,roc_auc,4,0.817705
HIV,fp+CLMsup,nef1,0,0.60241
HIV,fp+CLMsup,nef1,1,0.566265
