task,features,metric,fold,value
Tox21,CLMsup,nef1,4,0.589759
Tox21,fp+CLMsup,roc_auc,0,0.682561
Tox21,fp+CLMsup,roc_auc,1,0.814956
Tox21,fp+CLMsup,roc_auc,2,0.807796
Tox21,fp+CLMsup,roc_auc,3,0.798735
Tox21,fp+CLMsup,roc_auc,4,0.803802
Tox21,fp+CLMsup,nef1,0,0.345635
Tox21,fp+CLMsup,nef1,1,0.75612
Tox21,fp+CLMsup,nef1,2,0.708179
Tox21,fp+CLMsup,nef1,3,0.639377
Tox21,fp+CLMsup,nef1,4,0.665995
Tox21,desc+CLMsup,roc_auc,0,0.725839
Tox21,desc+CLMsup,roc_auc,1,0.829641
Tox21,desc+CLMsup,roc_auc,2,0.833919
Tox21,desc+CLMsup,roc_auc,3,0.812067
Tox21,desc+CLMsup,roc_auc,4,0.820371
Tox21,desc+CLMsup,nef1,0,0.357357
Tox21,desc+CLMsup,nef1,1,0.74507
Tox21,desc+CLMsup,nef1,2,0.713832
Tox21,desc+CLMsup,nef1,3,0.707082
Tox21,desc+CLMsup,nef1,4,0.670162
Tox21,fp+desc+CLMsup,roc_auc,0,0.727398
Tox21,fp+desc+CLMsup,roc_auc,1,0.830817
Tox21,fp+desc+CLMsup,roc_auc,2,0.83364
Tox21,fp+desc+CLMsup,roc_auc,3,0.816209
Tox21,fp+desc+CLMsup,roc_auc,4,0.823748
Tox21,fp+desc+CLMsup,nef1,0,0.409982
Tox21,fp+desc+CLMsup,nef1,1,0.771108
Tox21,fp+desc+CLMsup,nef1,2,0.747872
Tox21,fp+desc+CLMsup,nef1,3,0.725458
Tox21,fp+desc+CLMsup,nef1,4,0.74243
HIV,CLMsup,roc_auc,0,0.750983
HIV,CLMsup,roc_auc,1,0.7454
HIV,CLMsup,roc_auc,2,0.821761
HIV,CLMsup,roc_auc,3,0.749225
HIV,CLMsup,roc_auc,4,0.801843
HIV,CLMsup,nef1,0,0.566265
HIV,CLMsup,nef1,1,0.566265
HIV,CLMsup,nef1,2,0.722892
HIV,CLMsup,nef1,3,0.650602
HIV,CLMsup,nef1,4,0.722892
HIV,fp+CLMsup,roc_auc,0,0.769062
HIV,fp+CLMsup,roc_auc,1,0.796745
HIV,fp+CLMsup,roc_auc,2,0.839358
HIV,fp+CLMsup,roc_auc,3,0.770454
HIV,fp+CLMsup,roc_auc,4,0.817705
HIV,fp+CLMsup,nef1,0,0.60241
HIV,fp+CLMsup,nef1,1,0.566265
