task,features,metric,fold,value
HIV,desc,nef1,4,0.759036
HIV,fp+desc,roc_auc,0,0.798431
HIV,fp+desc,roc_auc,1,0.786426
HIV,fp+desc,roc_auc,2,0.859821
HIV,fp+desc,roc_auc,3,0.789634
HIV,fp+desc,roc_auc,4,0.826393
HIV,fp+desc,nef1,0,0.674699
HIV,fp+desc,nef1,1,0.614458
HIV,fp+desc,nef1,2,0.783133
HIV,fp+desc,nef1,3,0.73494
HIV,fp+desc,nef1,4,0.746988
