task,features,metric,fold,value
MoleculeACE,fp+CheMel,rmse,CHEMBL264_Ki,0.588091
MoleculeACE,desc+CheMel,rmse,CHEMBL264_Ki,0.589593
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL264_Ki,0.606366
MoleculeACE,CheMel,rmse,CHEMBL2835_Ki,0.43096
MoleculeACE,fp+CheMel,rmse,CHEMBL2835_Ki,0.427572
MoleculeACE,desc+CheMel,rmse,CHEMBL2835_Ki,0.452089
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL2835_Ki,0.407848
MoleculeACE,CheMel,rmse,CHEMBL287_Ki,0.701427
MoleculeACE,fp+CheMel,rmse,CHEMBL287_Ki,0.700631
MoleculeACE,desc+CheMel,rmse,CHEMBL287_Ki,0.690379
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL287_Ki,0.682509
MoleculeACE,CheMel,rmse,CHEMBL2971_Ki,0.659165
MoleculeACE,fp+CheMel,rmse,CHEMBL2971_Ki,0.661937
MoleculeACE,desc+CheMel,rmse,CHEMBL2971_Ki,0.660837
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL2971_Ki,0.68321
MoleculeACE,CheMel,rmse,CHEMBL3979_EC50,0.688147
MoleculeACE,fp+CheMel,rmse,CHEMBL3979_EC50,0.677452
MoleculeACE,desc+CheMel,rmse,CHEMBL3979_EC50,0.702622
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL3979_EC50,0.672254
MoleculeACE,CheMel,rmse,CHEMBL4005_Ki,0.658682
MoleculeACE,fp+CheMel,rmse,CHEMBL4005_Ki,0.645892
MoleculeACE,desc+CheMel,rmse,CHEMBL4005_Ki,0.647545
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL4005_Ki,0.648883
MoleculeACE,CheMel,rmse,CHEMBL4203_Ki,0.894762
MoleculeACE,fp+CheMel,rmse,CHEMBL4203_Ki,0.876196
MoleculeACE,desc+CheMel,rmse,CHEMBL4203_Ki,0.896746
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL4203_Ki,0.859865
MoleculeACE,CheMel,rmse,CHEMBL4616_EC50,0.710037
MoleculeACE,fp+CheMel,rmse,CHEMBL4616_EC50,0.701942
MoleculeACE,desc+CheMel,rmse,CHEMBL4616_EC50,0.690779
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL4616_EC50,0.701704
MoleculeACE,CheMel,rmse,CHEMBL4792_Ki,0.681218
MoleculeACE,fp+CheMel,rmse,CHEMBL4792_Ki,0.6967
MoleculeACE,desc+CheMel,rmse,CHEMBL4792_Ki,0.670956
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL4792_Ki,0.679859
