task,features,metric,fold,value
Tox21,fp+CheMel,roc_auc,4,0.818012
Tox21,fp+CheMel,nef1,0,0.471001
Tox21,fp+CheMel,nef1,1,0.803175
Tox21,fp+CheMel,nef1,2,0.777196
Tox21,fp+CheMel,nef1,3,0.781395
Tox21,fp+CheMel,nef1,4,0.741636
Tox21,desc+CheMel,roc_auc,0,0.719952
Tox21,desc+CheMel,roc_auc,1,0.838692
Tox21,desc+CheMel,roc_auc,2,0.838323
Tox21,desc+CheMel,roc_auc,3,0.826667
Tox21,desc+CheMel,roc_auc,4,0.820633
Tox21,desc+CheMel,nef1,0,0.465965
Tox21,desc+CheMel,nef1,1,0.80206
Tox21,desc+CheMel,nef1,2,0.795969
Tox21,desc+CheMel,nef1,3,0.735913
Tox21,desc+CheMel,nef1,4,0.72935
Tox21,fp+desc+CheMel,roc_auc,0,0.729825
Tox21,fp+desc+CheMel,roc_auc,1,0.837988
Tox21,fp+desc+CheMel,roc_auc,2,0.840776
Tox21,fp+desc+CheMel,roc_auc,3,0.824431
Tox21,fp+desc+CheMel,roc_auc,4,0.818452
Tox21,fp+desc+CheMel,nef1,0,0.442033
Tox21,fp+desc+CheMel,nef1,1,0.807158
Tox21,fp+desc+CheMel,nef1,2,0.796524
Tox21,fp+desc+CheMel,nef1,3,0.754625
Tox21,fp+desc+CheMel,nef1,4,0.746993
HIV,CheMel,roc_auc,0,0.801009
HIV,CheMel,roc_auc,1,0.78413
HIV,CheMel,roc_auc,2,0.842386
HIV,CheMel,roc_auc,3,0.777391
HIV,CheMel,roc_auc,4,0.818594
HIV,CheMel,nef1,0,0.650602
HIV,CheMel,nef1,1,0.650602
HIV,CheMel,nef1,2,0.795181
HIV,CheMel,nef1,3,0.722892
HIV,CheMel,nef1,4,0.771084
HIV,fp+CheMel,roc_auc,0,0.802736
HIV,fp+CheMel,roc_auc,1,0.797439
HIV,fp+CheMel,roc_auc,2,0.855818
HIV,fp+CheMel,roc_auc,3,0.795063
HIV,fp+CheMel,roc_auc,4,0.811642
HIV,fp+CheMel,nef1,0,0.710843
HIV,fp+CheMel,nef1,1,0.638554
HIV,fp+CheMel,nef1,2,0.783133
HIV,fp+CheMel,nef1,3,0.686747
HIV,fp+CheMel,nef1,4,0.771084
HIV,desc+CheMel,roc_auc,0,0.797399
