task,features,metric,fold,value
Tox21,fp+CheMel,roc_auc,4,0.818012
Tox21,fp+CheMel,nef1,0,0.471001
Tox21,fp+CheMel,nef1,1,0.803175
Tox21,fp+CheMel,nef1,2,0.777196
Tox21,fp+CheMel,nef1,3,0.781395
Tox21,fp+CheMel,nef1,4,0.741636
Tox21,desc+CheMel,roc_auc,0,0.747822
Tox21,desc+CheMel,roc_auc,1,0.839189
Tox21,desc+CheMel,roc_auc,2,0.841009
Tox21,desc+CheMel,roc_auc,3,0.821596
Tox21,desc+CheMel,roc_auc,4,0.81821
Tox21,desc+CheMel,nef1,0,0.443803
Tox21,desc+CheMel,nef1,1,0.808196
Tox21,desc+CheMel,nef1,2,0.775833
Tox21,desc+CheMel,nef1,3,0.724863
Tox21,desc+CheMel,nef1,4,0.772253
Tox21,fp+desc+CheMel,roc_auc,0,0.746231
Tox21,fp+desc+CheMel,roc_auc,1,0.84474
Tox21,fp+desc+CheMel,roc_auc,2,0.835417
Tox21,fp+desc+CheMel,roc_auc,3,0.826555
Tox21,fp+desc+CheMel,roc_auc,4,0.828477
Tox21,fp+desc+CheMel,nef1,0,0.421154
Tox21,fp+desc+CheMel,nef1,1,0.811325
Tox21,fp+desc+CheMel,nef1,2,0.788928
Tox21,fp+desc+CheMel,nef1,3,0.729899
Tox21,fp+desc+CheMel,nef1,4,0.742811
HIV,CheMel,roc_auc,0,0.801009
HIV,CheMel,roc_auc,1,0.78413
HIV,CheMel,roc_auc,2,0.842386
HIV,CheMel,roc_auc,3,0.777391
HIV,CheMel,roc_auc,4,0.818594
HIV,CheMel,nef1,0,0.650602
HIV,CheMel,nef1,1,0.650602
HIV,CheMel,nef1,2,0.795181
HIV,CheMel,nef1,3,0.722892
HIV,CheMel,nef1,4,0.771084
HIV,fp+CheMel,roc_auc,0,0.802736
HIV,fp+CheMel,roc_auc,1,0.797439
HIV,fp+CheMel,roc_auc,2,0.855818
HIV,fp+CheMel,roc_auc,3,0.795063
HIV,fp+CheMel,roc_auc,4,0.811642
HIV,fp+CheMel,nef1,0,0.710843
HIV,fp+CheMel,nef1,1,0.638554
HIV,fp+CheMel,nef1,2,0.783133
HIV,fp+CheMel,nef1,3,0.686747
HIV,fp+CheMel,nef1,4,0.771084
HIV,desc+CheMel,roc_auc,0,0.79611
