task,features,metric,fold,value
HIV,CLMunsup,nef1,0,0.554217
HIV,CLMunsup,nef1,1,0.566265
HIV,CLMunsup,nef1,2,0.722892
HIV,CLMunsup,nef1,3,0.698795
HIV,CLMunsup,nef1,4,0.686747
HIV,fp+CLMunsup,roc_auc,0,0.781324
HIV,fp+CLMunsup,roc_auc,1,0.776082
HIV,fp+CLMunsup,roc_auc,2,0.842322
HIV,fp+CLMunsup,roc_auc,3,0.759183
HIV,fp+CLMunsup,roc_auc,4,0.787841
HIV,fp+CLMunsup,nef1,0,0.626506
HIV,fp+CLMunsup,nef1,1,0.638554
HIV,fp+CLMunsup,nef1,2,0.783133
HIV,fp+CLMunsup,nef1,3,0.638554
HIV,fp+CLMunsup,nef1,4,0.722892
HIV,desc+CLMunsup,roc_auc,0,0.792694
HIV,desc+CLMunsup,roc_auc,1,0.783531
HIV,desc+CLMunsup,roc_auc,2,0.857154
HIV,desc+CLMunsup,roc_auc,3,0.78016
HIV,desc+CLMunsup,roc_auc,4,0.806688
HIV,desc+CLMunsup,nef1,0,0.674699
HIV,desc+CLMunsup,nef1,1,0.650602
HIV,desc+CLMunsup,nef1,2,0.783133
HIV,desc+CLMunsup,nef1,3,0.759036
HIV,desc+CLMunsup,nef1,4,0.710843
HIV,fp+desc+CLMunsup,roc_auc,0,0.800268
HIV,fp+desc+CLMunsup,roc_auc,1,0.785996
HIV,fp+desc+CLMunsup,roc_auc,2,0.851016
HIV,fp+desc+CLMunsup,roc_auc,3,0.770358
HIV,fp+desc+CLMunsup,roc_auc,4,0.809681
HIV,fp+desc+CLMunsup,nef1,0,0.686747
HIV,fp+desc+CLMunsup,nef1,1,0.626506
HIV,fp+desc+CLMunsup,nef1,2,0.722892
HIV,fp+desc+CLMunsup,nef1,3,0.710843
HIV,fp+desc+CLMunsup,nef1,4,0.746988
