task,features,metric,fold,value
MoleculeACE,CLMsup,rmse,CHEMBL239_EC50,0.813957
MoleculeACE,fp+CLMsup,rmse,CHEMBL239_EC50,0.764274
MoleculeACE,desc+CLMsup,rmse,CHEMBL239_EC50,0.788325
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL239_EC50,0.76066
MoleculeACE,CLMsup,rmse,CHEMBL244_Ki,0.925068
MoleculeACE,fp+CLMsup,rmse,CHEMBL244_Ki,0.821016
MoleculeACE,desc+CLMsup,rmse,CHEMBL244_Ki,0.859489
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL244_Ki,0.793839
MoleculeACE,CLMsup,rmse,CHEMBL262_Ki,0.87227
MoleculeACE,fp+CLMsup,rmse,CHEMBL262_Ki,0.784359
MoleculeACE,desc+CLMsup,rmse,CHEMBL262_Ki,0.806027
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL262_Ki,0.770781
MoleculeACE,CLMsup,rmse,CHEMBL264_Ki,0.738126
MoleculeACE,fp+CLMsup,rmse,CHEMBL264_Ki,0.664754
MoleculeACE,desc+CLMsup,rmse,CHEMBL264_Ki,0.681475
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL264_Ki,0.645121
MoleculeACE,CLMsup,rmse,CHEMBL2835_Ki,0.470028
MoleculeACE,fp+CLMsup,rmse,CHEMBL2835_Ki,0.43293
MoleculeACE,desc+CLMsup,rmse,CHEMBL2835_Ki,0.435493
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL2835_Ki,0.419656
MoleculeACE,CLMsup,rmse,CHEMBL287_Ki,0.770034
MoleculeACE,fp+CLMsup,rmse,CHEMBL287_Ki,0.767822
MoleculeACE,desc+CLMsup,rmse,CHEMBL287_Ki,0.715055
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL287_Ki,0.725274
MoleculeACE,CLMsup,rmse,CHEMBL2971_Ki,0.743594
MoleculeACE,fp+CLMsup,rmse,CHEMBL2971_Ki,0.673492
MoleculeACE,desc+CLMsup,rmse,CHEMBL2971_Ki,0.695171
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL2971_Ki,0.654072
MoleculeACE,CLMsup,rmse,CHEMBL3979_EC50,0.77262
MoleculeACE,fp+CLMsup,rmse,CHEMBL3979_EC50,0.693259
MoleculeACE,desc+CLMsup,rmse,CHEMBL3979_EC50,0.714736
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL3979_EC50,0.694533
MoleculeACE,CLMsup,rmse,CHEMBL4005_Ki,0.747177
MoleculeACE,fp+CLMsup,rmse,CHEMBL4005_Ki,0.703185
MoleculeACE,desc+CLMsup,rmse,CHEMBL4005_Ki,0.707006
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL4005_Ki,0.670818
MoleculeACE,CLMsup,rmse,CHEMBL4203_Ki,0.985485
MoleculeACE,fp+CLMsup,rmse,CHEMBL4203_Ki,0.889652
MoleculeACE,desc+CLMsup,rmse,CHEMBL4203_Ki,0.958087
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL4203_Ki,0.907392
MoleculeACE,CLMsup,rmse,CHEMBL4616_EC50,0.75684
MoleculeACE,fp+CLMsup,rmse,CHEMBL4616_EC50,0.721789
MoleculeACE,desc+CLMsup,rmse,CHEMBL4616_EC50,0.714499
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL4616_EC50,0.696438
MoleculeACE,CLMsup,rmse,CHEMBL4792_Ki,0.831971
MoleculeACE,fp+CLMsup,rmse,CHEMBL4792_Ki,0.775643
MoleculeACE,desc+CLMsup,rmse,CHEMBL4792_Ki,0.768811
MoleculeACE,fp+desc+CLMsup,rmse,CHEMBL4792_Ki,0.725564
