task,features,metric,fold,value
MoleculeACE,fp+CheMel,rmse,CHEMBL264_Ki,0.588091
MoleculeACE,desc+CheMel,rmse,CHEMBL264_Ki,0.596035
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL264_Ki,0.603746
MoleculeACE,CheMel,rmse,CHEMBL2835_Ki,0.43096
MoleculeACE,fp+CheMel,rmse,CHEMBL2835_Ki,0.427572
MoleculeACE,desc+CheMel,rmse,CHEMBL2835_Ki,0.451707
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL2835_Ki,0.421886
MoleculeACE,CheMel,rmse,CHEMBL287_Ki,0.701427
MoleculeACE,fp+CheMel,rmse,CHEMBL287_Ki,0.700631
MoleculeACE,desc+CheMel,rmse,CHEMBL287_Ki,0.658792
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL287_Ki,0.654741
MoleculeACE,CheMel,rmse,CHEMBL2971_Ki,0.659165
MoleculeACE,fp+CheMel,rmse,CHEMBL2971_Ki,0.661937
MoleculeACE,desc+CheMel,rmse,CHEMBL2971_Ki,0.667181
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL2971_Ki,0.689809
MoleculeACE,CheMel,rmse,CHEMBL3979_EC50,0.688147
MoleculeACE,fp+CheMel,rmse,CHEMBL3979_EC50,0.677452
MoleculeACE,desc+CheMel,rmse,CHEMBL3979_EC50,0.677859
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL3979_EC50,0.678642
MoleculeACE,CheMel,rmse,CHEMBL4005_Ki,0.658682
MoleculeACE,fp+CheMel,rmse,CHEMBL4005_Ki,0.645892
MoleculeACE,desc+CheMel,rmse,CHEMBL4005_Ki,0.663906
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL4005_Ki,0.651831
MoleculeACE,CheMel,rmse,CHEMBL4203_Ki,0.894762
MoleculeACE,fp+CheMel,rmse,CHEMBL4203_Ki,0.876196
MoleculeACE,desc+CheMel,rmse,CHEMBL4203_Ki,0.888399
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL4203_Ki,0.869595
MoleculeACE,CheMel,rmse,CHEMBL4616_EC50,0.710037
MoleculeACE,fp+CheMel,rmse,CHEMBL4616_EC50,0.701942
MoleculeACE,desc+CheMel,rmse,CHEMBL4616_EC50,0.702221
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL4616_EC50,0.689811
MoleculeACE,CheMel,rmse,CHEMBL4792_Ki,0.681218
MoleculeACE,fp+CheMel,rmse,CHEMBL4792_Ki,0.6967
MoleculeACE,desc+CheMel,rmse,CHEMBL4792_Ki,0.66802
MoleculeACE,fp+desc+CheMel,rmse,CHEMBL4792_Ki,0.672335
