task,seed,metric,value
polaris/adme-fang-rppb-1,709,mean_absolute_error,0.4990535382504171
polaris/adme-fang-rppb-1,709,mean_squared_error,0.5289938072374558
polaris/adme-fang-rppb-1,709,r2,0.40460941688884244
polaris/adme-fang-rppb-1,709,pearsonr,0.6392785255559958
polaris/adme-fang-rppb-1,709,explained_var,0.407504469699989
polaris/adme-fang-rppb-1,709,spearmanr,0.6965217391304346
polaris/adme-fang-solu-1,42,mean_absolute_error,0.47992454723635175
polaris/adme-fang-solu-1,42,mean_squared_error,0.4390580522388969
polaris/adme-fang-solu-1,42,r2,0.19019669933761385
polaris/adme-fang-solu-1,42,pearsonr,0.491930220443322
polaris/adme-fang-solu-1,42,explained_var,0.19048609173588293
polaris/adme-fang-solu-1,42,spearmanr,0.45366260263111585
polaris/adme-fang-solu-1,117,mean_absolute_error,0.4896257191698781
polaris/adme-fang-solu-1,117,mean_squared_error,0.4516350018644767
polaris/adme-fang-solu-1,117,r2,0.16699964084586472
polaris/adme-fang-solu-1,117,pearsonr,0.474454543638028
polaris/adme-fang-solu-1,117,explained_var,0.16741544643411876
polaris/adme-fang-solu-1,117,spearmanr,0.4278982705609283
polaris/adme-fang-solu-1,709,mean_absolute_error,0.48568302900412036
polaris/adme-fang-solu-1,709,mean_squared_error,0.4421372309172331
polaris/adme-fang-solu-1,709,r2,0.1845174297186406
polaris/adme-fang-solu-1,709,pearsonr,0.48528026912933064
polaris/adme-fang-solu-1,709,explained_var,0.1845856863210329
polaris/adme-fang-solu-1,709,spearmanr,0.4304942320735839
polaris/pkis2-egfr-wt-reg-v2,42,mean_absolute_error,19.63369387078502
polaris/pkis2-egfr-wt-reg-v2,42,mean_squared_error,626.1556015939098
polaris/pkis2-egfr-wt-reg-v2,42,r2,0.22290878437196682
polaris/pkis2-egfr-wt-reg-v2,42,pearsonr,0.5213549204519756
polaris/pkis2-egfr-wt-reg-v2,42,explained_var,0.22329564896052856
polaris/pkis2-egfr-wt-reg-v2,42,spearmanr,0.2658238315923515
polaris/pkis2-egfr-wt-reg-v2,117,mean_absolute_error,19.31571974038853
polaris/pkis2-egfr-wt-reg-v2,117,mean_squared_error,606.935268403499
polaris/pkis2-egfr-wt-reg-v2,117,r2,0.24676220362700796
polaris/pkis2-egfr-wt-reg-v2,117,pearsonr,0.5434680595589909
polaris/pkis2-egfr-wt-reg-v2,117,explained_var,0.24897731425626668
polaris/pkis2-egfr-wt-reg-v2,117,spearmanr,0.3037972210743529
polaris/pkis2-egfr-wt-reg-v2,709,mean_absolute_error,19.863650644103956
polaris/pkis2-egfr-wt-reg-v2,709,mean_squared_error,631.6927231021792
polaris/pkis2-egfr-wt-reg-v2,709,r2,0.2160369325942486
polaris/pkis2-egfr-wt-reg-v2,709,pearsonr,0.5209031395951331
polaris/pkis2-egfr-wt-reg-v2,709,explained_var,0.21656734750923257
polaris/pkis2-egfr-wt-reg-v2,709,spearmanr,0.29497334441894724
polaris/pkis2-kit-wt-cls-v2,42,roc_auc,0.7823984526112185
polaris/pkis2-kit-wt-cls-v2,42,cohen_kappa,0.27153110047846896
polaris/pkis2-kit-wt-cls-v2,42,f1,0.36363636363636365
polaris/pkis2-kit-wt-cls-v2,42,mcc,0.2937579261496288
polaris/pkis2-kit-wt-cls-v2,42,pr_auc,0.5035013211643885
polaris/pkis2-kit-wt-cls-v2,42,accuracy,0.8189655172413793
