task,seed,metric,value
polaris/adme-fang-rppb-1,710,spearmanr,0.7313043478260869
polaris/adme-fang-rppb-1,710,mean_squared_error,0.5380170602655062
polaris/adme-fang-rppb-1,710,r2,0.3944536082415043
polaris/adme-fang-rppb-1,710,pearsonr,0.6407695390006598
polaris/adme-fang-rppb-1,710,explained_var,0.40768086947613924
polaris/adme-fang-rppb-1,710,mean_absolute_error,0.5246566902604223
polaris/adme-fang-solu-1,43,spearmanr,0.45109186010173585
polaris/adme-fang-solu-1,43,mean_squared_error,0.4408695669352568
polaris/adme-fang-solu-1,43,r2,0.18685552253233684
polaris/adme-fang-solu-1,43,pearsonr,0.483643522818451
polaris/adme-fang-solu-1,43,explained_var,0.18694400798800803
polaris/adme-fang-solu-1,43,mean_absolute_error,0.48497864372809885
polaris/adme-fang-solu-1,118,spearmanr,0.4328529101413666
polaris/adme-fang-solu-1,118,mean_squared_error,0.45733714093416095
polaris/adme-fang-solu-1,118,r2,0.1564825554264775
polaris/adme-fang-solu-1,118,pearsonr,0.48050530576696204
polaris/adme-fang-solu-1,118,explained_var,0.15665242928428247
polaris/adme-fang-solu-1,118,mean_absolute_error,0.4897796775375808
polaris/adme-fang-solu-1,710,spearmanr,0.4480563945236656
polaris/adme-fang-solu-1,710,mean_squared_error,0.43993930962617944
polaris/adme-fang-solu-1,710,r2,0.18857129892116442
polaris/adme-fang-solu-1,710,pearsonr,0.49401904945746455
polaris/adme-fang-solu-1,710,explained_var,0.18857792250436334
polaris/adme-fang-solu-1,710,mean_absolute_error,0.4831355403601419
polaris/pkis2-egfr-wt-reg-v2,43,spearmanr,0.2686714821208597
polaris/pkis2-egfr-wt-reg-v2,43,mean_squared_error,619.6910271267184
polaris/pkis2-egfr-wt-reg-v2,43,r2,0.23093165283859052
polaris/pkis2-egfr-wt-reg-v2,43,pearsonr,0.5325734416122405
polaris/pkis2-egfr-wt-reg-v2,43,explained_var,0.23168702758643267
polaris/pkis2-egfr-wt-reg-v2,43,mean_absolute_error,19.801266023009173
polaris/pkis2-egfr-wt-reg-v2,118,spearmanr,0.3074532890701452
polaris/pkis2-egfr-wt-reg-v2,118,mean_squared_error,608.873539875453
polaris/pkis2-egfr-wt-reg-v2,118,r2,0.24435670932092213
polaris/pkis2-egfr-wt-reg-v2,118,pearsonr,0.5405660701521539
polaris/pkis2-egfr-wt-reg-v2,118,explained_var,0.24436432434147304
polaris/pkis2-egfr-wt-reg-v2,118,mean_absolute_error,19.471215943414947
polaris/pkis2-egfr-wt-reg-v2,710,spearmanr,0.29806352018764065
polaris/pkis2-egfr-wt-reg-v2,710,mean_squared_error,624.873813446395
polaris/pkis2-egfr-wt-reg-v2,710,r2,0.2244995492029358
polaris/pkis2-egfr-wt-reg-v2,710,pearsonr,0.529886331856781
polaris/pkis2-egfr-wt-reg-v2,710,explained_var,0.2245952298044226
polaris/pkis2-egfr-wt-reg-v2,710,mean_absolute_error,19.67527753310685
polaris/pkis2-kit-wt-cls-v2,43,f1,0.4117647058823529
polaris/pkis2-kit-wt-cls-v2,43,cohen_kappa,0.32084309133489464
polaris/pkis2-kit-wt-cls-v2,43,accuracy,0.8275862068965517
polaris/pkis2-kit-wt-cls-v2,43,pr_auc,0.5111552728817468
polaris/pkis2-kit-wt-cls-v2,43,mcc,0.3411127861093667
polaris/pkis2-kit-wt-cls-v2,43,roc_auc,0.7794970986460348
polaris/pkis2-kit-wt-cls-v2,118,f1,0.35294117647058826
polaris/pkis2-kit-wt-cls-v2,118,cohen_kappa,0.25292740046838413
polaris/pkis2-kit-wt-cls-v2,118,accuracy,0.8103448275862069
polaris/pkis2-kit-wt-cls-v2,118,pr_auc,0.5059541791386761
polaris/pkis2-kit-wt-cls-v2,118,mcc,0.26890642992563213
polaris/pkis2-kit-wt-cls-v2,118,roc_auc,0.788201160541586
polaris/pkis2-kit-wt-cls-v2,710,f1,0.3333333333333333
polaris/pkis2-kit-wt-cls-v2,710,cohen_kappa,0.25831202046035806
polaris/pkis2-kit-wt-cls-v2,710,accuracy,0.8275862068965517
polaris/pkis2-kit-wt-cls-v2,710,pr_auc,0.5064865930323427
polaris/pkis2-kit-wt-cls-v2,710,mcc,0.3022381113002528
polaris/pkis2-kit-wt-cls-v2,710,roc_auc,0.7620889748549323
polaris/pkis2-kit-wt-reg-v2,43,spearmanr,0.35992204106767794
polaris/pkis2-kit-wt-reg-v2,43,mean_squared_error,1171.9566886024108
polaris/pkis2-kit-wt-reg-v2,43,r2,0.02877916267819247
polaris/pkis2-kit-wt-reg-v2,43,pearsonr,0.398899567499595
polaris/pkis2-kit-wt-reg-v2,43,explained_var,0.029629471432366494
polaris/pkis2-kit-wt-reg-v2,43,mean_absolute_error,27.068623364646644
polaris/pkis2-kit-wt-reg-v2,118,spearmanr,0.41506024622370397
polaris/pkis2-kit-wt-reg-v2,118,mean_squared_error,1118.0206810253899
polaris/pkis2-kit-wt-reg-v2,118,r2,0.07347686776422135
polaris/pkis2-kit-wt-reg-v2,118,pearsonr,0.4286007485866341
polaris/pkis2-kit-wt-reg-v2,118,explained_var,0.08688710685466994
polaris/pkis2-kit-wt-reg-v2,118,mean_absolute_error,26.407457401083622
polaris/pkis2-kit-wt-reg-v2,710,spearmanr,0.40718775719724
polaris/pkis2-kit-wt-reg-v2,710,mean_squared_error,1042.0284537665912
polaris/pkis2-kit-wt-reg-v2,710,r2,0.1364529447012065
polaris/pkis2-kit-wt-reg-v2,710,pearsonr,0.4492624390207677
polaris/pkis2-kit-wt-reg-v2,710,explained_var,0.1376638973397698
polaris/pkis2-kit-wt-reg-v2,710,mean_absolute_error,26.53504413591097
polaris/pkis2-ret-wt-cls-v2,43,f1,0.46153846153846156
polaris/pkis2-ret-wt-cls-v2,43,cohen_kappa,0.39428571428571424
polaris/pkis2-ret-wt-cls-v2,43,accuracy,0.8679245283018868
polaris/pkis2-ret-wt-cls-v2,43,pr_auc,0.6927682056902914
polaris/pkis2-ret-wt-cls-v2,43,mcc,0.42026240828800515
polaris/pkis2-ret-wt-cls-v2,43,roc_auc,0.9068076668869796
polaris/pkis2-ret-wt-cls-v2,118,f1,0.5
polaris/pkis2-ret-wt-cls-v2,118,cohen_kappa,0.4483954900260191
polaris/pkis2-ret-wt-cls-v2,118,accuracy,0.8867924528301887
polaris/pkis2-ret-wt-cls-v2,118,pr_auc,0.6396545637715779
polaris/pkis2-ret-wt-cls-v2,118,mcc,0.5048989433143583
polaris/pkis2-ret-wt-cls-v2,118,roc_auc,0.8942498347653669
polaris/pkis2-ret-wt-cls-v2,710,f1,0.5
polaris/pkis2-ret-wt-cls-v2,710,cohen_kappa,0.4483954900260191
polaris/pkis2-ret-wt-cls-v2,710,accuracy,0.8867924528301887
polaris/pkis2-ret-wt-cls-v2,710,pr_auc,0.7322154471027114
polaris/pkis2-ret-wt-cls-v2,710,mcc,0.5048989433143583
polaris/pkis2-ret-wt-cls-v2,710,roc_auc,0.9213483146067416
polaris/pkis2-ret-wt-reg-v2,43,spearmanr,0.562251167727095
polaris/pkis2-ret-wt-reg-v2,43,mean_squared_error,814.3729442489129
polaris/pkis2-ret-wt-reg-v2,43,r2,0.3141574389015067
polaris/pkis2-ret-wt-reg-v2,43,pearsonr,0.5817843959434229
polaris/pkis2-ret-wt-reg-v2,43,explained_var,0.33403882110056515
polaris/pkis2-ret-wt-reg-v2,43,mean_absolute_error,20.74927771713697
polaris/pkis2-ret-wt-reg-v2,118,spearmanr,0.6244433973222561
polaris/pkis2-ret-wt-reg-v2,118,mean_squared_error,695.5492051169036
polaris/pkis2-ret-wt-reg-v2,118,r2,0.41422753349527763
polaris/pkis2-ret-wt-reg-v2,118,pearsonr,0.6659457436926792
polaris/pkis2-ret-wt-reg-v2,118,explained_var,0.44344762579691455
polaris/pkis2-ret-wt-reg-v2,118,mean_absolute_error,20.347584860773473
polaris/pkis2-ret-wt-reg-v2,710,spearmanr,0.6195125685370964
polaris/pkis2-ret-wt-reg-v2,710,mean_squared_error,770.9763178825169
polaris/pkis2-ret-wt-reg-v2,710,r2,0.3507048875616702
polaris/pkis2-ret-wt-reg-v2,710,pearsonr,0.6154555022364145
polaris/pkis2-ret-wt-reg-v2,710,explained_var,0.369398008679658
polaris/pkis2-ret-wt-reg-v2,710,mean_absolute_error,20.39843841278612
tdcommons/ames,43,roc_auc,0.8202275352953847
tdcommons/ames,118,roc_auc,0.8097319313086218
tdcommons/ames,710,roc_auc,0.8176565039456422
tdcommons/bbb-martins,43,roc_auc,0.8525250156347717
tdcommons/bbb-martins,118,roc_auc,0.8610068792995622
tdcommons/bbb-martins,710,roc_auc,0.858739837398374
tdcommons/bioavailability-ma,43,roc_auc,0.7126704356501496
tdcommons/bioavailability-ma,118,roc_auc,0.7003658131027602
tdcommons/bioavailability-ma,710,roc_auc,0.7043565014965081
tdcommons/caco2-wang,43,mean_absolute_error,0.322472495825158
tdcommons/caco2-wang,118,mean_absolute_error,0.32756617556613266
tdcommons/caco2-wang,710,mean_absolute_error,0.3226032950709937
tdcommons/clearance-hepatocyte-az,43,spearmanr,0.36047073829169635
tdcommons/clearance-hepatocyte-az,118,spearmanr,0.3975220275337435
tdcommons/clearance-hepatocyte-az,710,spearmanr,0.3821194610029706
tdcommons/clearance-microsome-az,43,spearmanr,0.4182916379850122
tdcommons/clearance-microsome-az,118,spearmanr,0.3983351146420574
tdcommons/clearance-microsome-az,710,spearmanr,0.42558172744971945
tdcommons/cyp2c9-substrate-carbonmangels,43,pr_auc,0.3398372822177054
tdcommons/cyp2c9-substrate-carbonmangels,118,pr_auc,0.3358896543149168
tdcommons/cyp2c9-substrate-carbonmangels,710,pr_auc,0.3224647712536131
tdcommons/cyp2d6-substrate-carbonmangels,43,pr_auc,0.5983529213448713
tdcommons/cyp2d6-substrate-carbonmangels,118,pr_auc,0.6428936818603078
tdcommons/cyp2d6-substrate-carbonmangels,710,pr_auc,0.6647355420303948
tdcommons/cyp3a4-substrate-carbonmangels,43,roc_auc,0.6570976491862568
tdcommons/cyp3a4-substrate-carbonmangels,118,roc_auc,0.6837703435804702
tdcommons/cyp3a4-substrate-carbonmangels,710,roc_auc,0.6392405063291139
tdcommons/dili,43,roc_auc,0.8673913043478261
tdcommons/dili,118,roc_auc,0.8682608695652174
tdcommons/dili,710,roc_auc,0.8682608695652173
tdcommons/half-life-obach,43,spearmanr,0.13999612275183174
tdcommons/half-life-obach,118,spearmanr,0.15207924121714078
tdcommons/half-life-obach,710,spearmanr,0.14778892927114187
tdcommons/herg,43,roc_auc,0.8151693667157585
tdcommons/herg,118,roc_auc,0.7762886597938145
tdcommons/herg,710,roc_auc,0.8007363770250367
tdcommons/ld50-zhu,43,mean_absolute_error,0.6468220385098696
tdcommons/ld50-zhu,118,mean_absolute_error,0.6371889891552759
tdcommons/ld50-zhu,710,mean_absolute_error,0.6422558476087054
tdcommons/lipophilicity-astrazeneca,43,mean_absolute_error,0.6515625871643327
tdcommons/lipophilicity-astrazeneca,118,mean_absolute_error,0.6471711277641438
tdcommons/lipophilicity-astrazeneca,710,mean_absolute_error,0.6427414035562089
tdcommons/pgp-broccatelli,43,roc_auc,0.8811650226606238
tdcommons/pgp-broccatelli,118,roc_auc,0.8782324713409757
tdcommons/pgp-broccatelli,710,roc_auc,0.8828978938949613
tdcommons/ppbr-az,43,mean_absolute_error,9.89833156473333
tdcommons/ppbr-az,118,mean_absolute_error,9.88249474782164
tdcommons/ppbr-az,710,mean_absolute_error,9.767469756909753
tdcommons/vdss-lombardo,43,spearmanr,0.044852330903972885
tdcommons/vdss-lombardo,118,spearmanr,0.08329941386393407
tdcommons/vdss-lombardo,710,spearmanr,0.047043989819847844
