task,seed,subset,metric,value,n_test
CHEMBL204_Ki,117,cliff,rmse,0.9070223088301232,220
CHEMBL204_Ki,117,noncliff,rmse,0.7090690097004629,333
CHEMBL204_Ki,709,overall,rmse,0.7873314189769399,553
CHEMBL204_Ki,709,overall,mae,0.5722190038126922,553
CHEMBL204_Ki,709,overall,r2,0.7351469187589779,553
CHEMBL204_Ki,709,overall,spearman,0.8554762439319442,553
CHEMBL204_Ki,709,overall,pearson,0.8592503957812353,553
CHEMBL204_Ki,709,cliff,rmse,0.9137761317690636,220
CHEMBL204_Ki,709,noncliff,rmse,0.691220124891831,333
CHEMBL2147_Ki,42,overall,rmse,0.6791708623182565,294
CHEMBL2147_Ki,42,overall,mae,0.5261410843043817,294
CHEMBL2147_Ki,42,overall,r2,0.8825590553392014,294
CHEMBL2147_Ki,42,overall,spearman,0.914450282918744,294
CHEMBL2147_Ki,42,overall,pearson,0.9395499183618811,294
CHEMBL2147_Ki,42,cliff,rmse,0.7146707945272718,116
CHEMBL2147_Ki,42,noncliff,rmse,0.6550013969342527,178
CHEMBL2147_Ki,117,overall,rmse,0.6822012877426759,294
CHEMBL2147_Ki,117,overall,mae,0.524509637142307,294
CHEMBL2147_Ki,117,overall,r2,0.8815086863106463,294
CHEMBL2147_Ki,117,overall,spearman,0.9147954756611965,294
CHEMBL2147_Ki,117,overall,pearson,0.9389095877208526,294
CHEMBL2147_Ki,117,cliff,rmse,0.705605871292473,116
CHEMBL2147_Ki,117,noncliff,rmse,0.6665066931879987,178
CHEMBL2147_Ki,709,overall,rmse,0.688163990709956,294
CHEMBL2147_Ki,709,overall,mae,0.5330285065764779,294
CHEMBL2147_Ki,709,overall,r2,0.8794283144713687,294
CHEMBL2147_Ki,709,overall,spearman,0.9126515973428186,294
CHEMBL2147_Ki,709,overall,pearson,0.9385529297421612,294
CHEMBL2147_Ki,709,cliff,rmse,0.7060513163106592,116
CHEMBL2147_Ki,709,noncliff,rmse,0.6762524953023432,178
CHEMBL214_Ki,42,overall,rmse,0.7258397479201198,666
CHEMBL214_Ki,42,overall,mae,0.533750705977156,666
CHEMBL214_Ki,42,overall,r2,0.5925747273854822,666
CHEMBL214_Ki,42,overall,spearman,0.7687166171029503,666
CHEMBL214_Ki,42,overall,pearson,0.7741338170873416,666
CHEMBL214_Ki,42,cliff,rmse,0.8403958496578958,245
CHEMBL214_Ki,42,noncliff,rmse,0.6499455378318509,421
CHEMBL214_Ki,117,overall,rmse,0.7280834055752389,666
CHEMBL214_Ki,117,overall,mae,0.5371155404699556,666
CHEMBL214_Ki,117,overall,r2,0.5900520337302206,666
CHEMBL214_Ki,117,overall,spearman,0.7663422708479128,666
CHEMBL214_Ki,117,overall,pearson,0.7723404271099097,666
CHEMBL214_Ki,117,cliff,rmse,0.84184767941232,245
CHEMBL214_Ki,117,noncliff,rmse,0.6528157274005797,421
CHEMBL214_Ki,709,overall,rmse,0.7175901545687582,666
CHEMBL214_Ki,709,overall,mae,0.5300935707348853,666
CHEMBL214_Ki,709,overall,r2,0.6017833507397248,666
CHEMBL214_Ki,709,overall,spearman,0.7740595664370621,666
CHEMBL214_Ki,709,overall,pearson,0.7806672519089717,666
CHEMBL214_Ki,709,cliff,rmse,0.8336519149074251,245
CHEMBL214_Ki,709,noncliff,rmse,0.6404387753349091,421
CHEMBL218_EC50,42,overall,rmse,0.6961793008468071,208
CHEMBL218_EC50,42,overall,mae,0.547360808185434,208
CHEMBL218_EC50,42,overall,r2,0.5564264729071704,208
CHEMBL218_EC50,42,overall,spearman,0.7623657806724167,208
CHEMBL218_EC50,42,overall,pearson,0.7547738588552079,208
CHEMBL218_EC50,42,cliff,rmse,0.7701844567766383,76
CHEMBL218_EC50,42,noncliff,rmse,0.6497578647485673,132
CHEMBL218_EC50,117,overall,rmse,0.6832920591893183,208
CHEMBL218_EC50,117,overall,mae,0.5394942509636903,208
CHEMBL218_EC50,117,overall,r2,0.5726967918656336,208
CHEMBL218_EC50,117,overall,spearman,0.7674451787724099,208
CHEMBL218_EC50,117,overall,pearson,0.7639555751112432,208
CHEMBL218_EC50,117,cliff,rmse,0.7599221783622921,76
CHEMBL218_EC50,117,noncliff,rmse,0.6349904642016138,132
CHEMBL218_EC50,709,overall,rmse,0.7102806548316383,208
CHEMBL218_EC50,709,overall,mae,0.5634287186720889,208
CHEMBL218_EC50,709,overall,r2,0.5382750116714461,208
CHEMBL218_EC50,709,overall,spearman,0.75281507203704,208
CHEMBL218_EC50,709,overall,pearson,0.7421753487179316,208
CHEMBL218_EC50,709,cliff,rmse,0.7660189806320886,76
CHEMBL218_EC50,709,noncliff,rmse,0.6761076468346905,132
CHEMBL219_Ki,42,overall,rmse,0.7365685100785844,374
CHEMBL219_Ki,42,overall,mae,0.5507150298291906,374
CHEMBL219_Ki,42,overall,r2,0.5300754586013662,374
CHEMBL219_Ki,42,overall,spearman,0.7360377342260326,374
CHEMBL219_Ki,42,overall,pearson,0.7307939960777997,374
CHEMBL219_Ki,42,cliff,rmse,0.7987853031091539,148
CHEMBL219_Ki,42,noncliff,rmse,0.6928038052679224,226
CHEMBL219_Ki,117,overall,rmse,0.7331850054550091,374
CHEMBL219_Ki,117,overall,mae,0.5494796008254248,374
CHEMBL219_Ki,117,overall,r2,0.5343828378600566,374
CHEMBL219_Ki,117,overall,spearman,0.7440846439477571,374
CHEMBL219_Ki,117,overall,pearson,0.7348592069883336,374
CHEMBL219_Ki,117,cliff,rmse,0.7934635825484305,148
CHEMBL219_Ki,117,noncliff,rmse,0.6908665672973089,226
CHEMBL219_Ki,709,overall,rmse,0.7450805551055494,374
CHEMBL219_Ki,709,overall,mae,0.5585263743220327,374
CHEMBL219_Ki,709,overall,r2,0.5191514736258874,374
CHEMBL219_Ki,709,overall,spearman,0.7328464968244184,374
CHEMBL219_Ki,709,overall,pearson,0.7269935356327105,374
CHEMBL219_Ki,709,cliff,rmse,0.7992413205120835,148
CHEMBL219_Ki,709,noncliff,rmse,0.7073689649436572,226
CHEMBL228_Ki,42,overall,rmse,0.7124797180183466,342
CHEMBL228_Ki,42,overall,mae,0.5222123422693413,342
CHEMBL228_Ki,42,overall,r2,0.6467335694521377,342
CHEMBL228_Ki,42,overall,spearman,0.7961343600787834,342
CHEMBL228_Ki,42,overall,pearson,0.8069681498727965,342
CHEMBL228_Ki,42,cliff,rmse,0.748083222388009,127
CHEMBL228_Ki,42,noncliff,rmse,0.6905869857453613,215
CHEMBL228_Ki,117,overall,rmse,0.7092086801330145,342
CHEMBL228_Ki,117,overall,mae,0.5339009883472977,342
CHEMBL228_Ki,117,overall,r2,0.6499698588603903,342
CHEMBL228_Ki,117,overall,spearman,0.7943944186278132,342
CHEMBL228_Ki,117,overall,pearson,0.8087392559290593,342
CHEMBL228_Ki,117,cliff,rmse,0.7247984023498473,127
CHEMBL228_Ki,117,noncliff,rmse,0.6998367305327227,215
CHEMBL228_Ki,709,overall,rmse,0.7082876951925363,342
CHEMBL228_Ki,709,overall,mae,0.5281731460395144,342
CHEMBL228_Ki,709,overall,r2,0.650878373321035,342
CHEMBL228_Ki,709,overall,spearman,0.7966605423727492,342
CHEMBL228_Ki,709,overall,pearson,0.8102001528018333,342
CHEMBL228_Ki,709,cliff,rmse,0.7411197045177874,127
CHEMBL228_Ki,709,noncliff,rmse,0.6881583786985527,215
CHEMBL231_Ki,42,overall,rmse,0.7455583153469124,197
CHEMBL231_Ki,42,overall,mae,0.5392486762909796,197
CHEMBL231_Ki,42,overall,r2,0.6765067544743646,197
CHEMBL231_Ki,42,overall,spearman,0.8208438890092263,197
CHEMBL231_Ki,42,overall,pearson,0.825188015551408,197
CHEMBL231_Ki,42,cliff,rmse,0.8527476623539155,48
CHEMBL231_Ki,42,noncliff,rmse,0.7075778567479019,149
CHEMBL231_Ki,117,overall,rmse,0.7797656082226223,197
CHEMBL231_Ki,117,overall,mae,0.5682673507190201,197
CHEMBL231_Ki,117,overall,r2,0.6461410914428509,197
CHEMBL231_Ki,117,overall,spearman,0.8011326357954351,197
CHEMBL231_Ki,117,overall,pearson,0.8071623430022778,197
CHEMBL231_Ki,117,cliff,rmse,0.9046650236101653,48
CHEMBL231_Ki,117,noncliff,rmse,0.7350235119499521,149
CHEMBL231_Ki,709,overall,rmse,0.7846872133629088,197
CHEMBL231_Ki,709,overall,mae,0.5645010942522494,197
CHEMBL231_Ki,709,overall,r2,0.641660129878979,197
CHEMBL231_Ki,709,overall,spearman,0.8029015944171856,197
CHEMBL231_Ki,709,overall,pearson,0.8060612573610668,197
CHEMBL231_Ki,709,cliff,rmse,0.9130817223043887,48
CHEMBL231_Ki,709,noncliff,rmse,0.7385871119892611,149
CHEMBL233_Ki,42,overall,rmse,0.809935061092331,630
CHEMBL233_Ki,42,overall,mae,0.6075800351830236,630
CHEMBL233_Ki,42,overall,r2,0.6146613193939525,630
CHEMBL233_Ki,42,overall,spearman,0.7891338314569415,630
CHEMBL233_Ki,42,overall,pearson,0.7868100613443648,630
CHEMBL233_Ki,42,cliff,rmse,0.8318655472126125,259
CHEMBL233_Ki,42,noncliff,rmse,0.7942662640751902,371
CHEMBL233_Ki,117,overall,rmse,0.7938788220915258,630
CHEMBL233_Ki,117,overall,mae,0.6007686435166005,630
CHEMBL233_Ki,117,overall,r2,0.6297878733139338,630
CHEMBL233_Ki,117,overall,spearman,0.7928183960439019,630
CHEMBL233_Ki,117,overall,pearson,0.7944510418071048,630
CHEMBL233_Ki,117,cliff,rmse,0.8062477596278201,259
CHEMBL233_Ki,117,noncliff,rmse,0.7851284107015346,371
CHEMBL233_Ki,709,overall,rmse,0.8199505677892087,630
CHEMBL233_Ki,709,overall,mae,0.6143163088083677,630
CHEMBL233_Ki,709,overall,r2,0.6050723426949817,630
CHEMBL233_Ki,709,overall,spearman,0.7765753288080128,630
CHEMBL233_Ki,709,overall,pearson,0.7798614914081452,630
CHEMBL233_Ki,709,cliff,rmse,0.8546052849394606,259
CHEMBL233_Ki,709,noncliff,rmse,0.7948625950188727,371
CHEMBL234_Ki,42,overall,rmse,0.7171595398502357,733
CHEMBL234_Ki,42,overall,mae,0.5246559427644631,733
CHEMBL234_Ki,42,overall,r2,0.601063823107184,733
CHEMBL234_Ki,42,overall,spearman,0.7799834621912894,733
CHEMBL234_Ki,42,overall,pearson,0.7837919317254336,733
CHEMBL234_Ki,42,cliff,rmse,0.7047957079337474,320
CHEMBL234_Ki,42,noncliff,rmse,0.7265946222656182,413
CHEMBL234_Ki,117,overall,rmse,0.7235384912958432,733
CHEMBL234_Ki,117,overall,mae,0.5260051459207644,733
CHEMBL234_Ki,117,overall,r2,0.5939353893076496,733
CHEMBL234_Ki,117,overall,spearman,0.7702017609006298,733
CHEMBL234_Ki,117,overall,pearson,0.7775417798562894,733
CHEMBL234_Ki,117,cliff,rmse,0.713946138748561,320
CHEMBL234_Ki,117,noncliff,rmse,0.7308842660468533,413
CHEMBL234_Ki,709,overall,rmse,0.7184794382883599,733
CHEMBL234_Ki,709,overall,mae,0.5267753326535464,733
CHEMBL234_Ki,709,overall,r2,0.5995940252237479,733
CHEMBL234_Ki,709,overall,spearman,0.7764655062249571,733
CHEMBL234_Ki,709,overall,pearson,0.7819864401715475,733
CHEMBL234_Ki,709,cliff,rmse,0.7032199230040945,320
CHEMBL234_Ki,709,noncliff,rmse,0.7300835274149071,413
CHEMBL235_EC50,42,overall,rmse,0.6994637045212623,472
CHEMBL235_EC50,42,overall,mae,0.5301599176765387,472
CHEMBL235_EC50,42,overall,r2,0.5779217213484873,472
CHEMBL235_EC50,42,overall,spearman,0.7598553567022771,472
CHEMBL235_EC50,42,overall,pearson,0.7705314587034577,472
CHEMBL235_EC50,42,cliff,rmse,0.7883602178482557,178
CHEMBL235_EC50,42,noncliff,rmse,0.6396657434198924,294
CHEMBL235_EC50,117,overall,rmse,0.6981482763085002,472
CHEMBL235_EC50,117,overall,mae,0.5302320652563092,472
CHEMBL235_EC50,117,overall,r2,0.5795077696253934,472
CHEMBL235_EC50,117,overall,spearman,0.7615488797071438,472
CHEMBL235_EC50,117,overall,pearson,0.7726440581835716,472
CHEMBL235_EC50,117,cliff,rmse,0.7794318049789619,178
CHEMBL235_EC50,117,noncliff,rmse,0.6439686643178172,294
CHEMBL235_EC50,709,overall,rmse,0.6855466211724168,472
CHEMBL235_EC50,709,overall,mae,0.5170496928682811,472
CHEMBL235_EC50,709,overall,r2,0.5945506348699425,472
CHEMBL235_EC50,709,overall,spearman,0.7682716182662206,472
