task,seed,metric,value
polaris/adme-fang-rppb-1,710,mean_squared_error,0.41767042852881825
polaris/adme-fang-rppb-1,710,pearsonr,0.7577485259156459
polaris/adme-fang-rppb-1,710,spearmanr,0.7895652173913044
polaris/adme-fang-rppb-1,710,explained_var,0.5474917220477153
polaris/adme-fang-rppb-1,710,mean_absolute_error,0.5187585734755218
polaris/adme-fang-rppb-1,710,r2,0.5299055743417549
polaris/adme-fang-solu-1,43,mean_squared_error,0.39619842293151714
polaris/adme-fang-solu-1,43,pearsonr,0.5435634152086017
polaris/adme-fang-solu-1,43,spearmanr,0.4675376372252482
polaris/adme-fang-solu-1,43,explained_var,0.2713762311608636
polaris/adme-fang-solu-1,43,mean_absolute_error,0.45353014643948497
polaris/adme-fang-solu-1,43,r2,0.26924745151331353
polaris/adme-fang-solu-1,118,mean_squared_error,0.40937829543552234
polaris/adme-fang-solu-1,118,pearsonr,0.5298597209089363
polaris/adme-fang-solu-1,118,spearmanr,0.44982734840499694
polaris/adme-fang-solu-1,118,explained_var,0.24827357283853568
polaris/adme-fang-solu-1,118,mean_absolute_error,0.4583446973446783
polaris/adme-fang-solu-1,118,r2,0.24493835570781064
polaris/adme-fang-solu-1,710,mean_squared_error,0.399111006519875
polaris/adme-fang-solu-1,710,pearsonr,0.5337392384201549
polaris/adme-fang-solu-1,710,spearmanr,0.46776742060074544
polaris/adme-fang-solu-1,710,explained_var,0.2668930642972033
polaris/adme-fang-solu-1,710,mean_absolute_error,0.45140347808862347
polaris/adme-fang-solu-1,710,r2,0.26387545163475534
polaris/pkis2-egfr-wt-reg-v2,43,mean_squared_error,550.8777730937364
polaris/pkis2-egfr-wt-reg-v2,43,pearsonr,0.5769752309078104
polaris/pkis2-egfr-wt-reg-v2,43,spearmanr,0.34069339428119844
polaris/pkis2-egfr-wt-reg-v2,43,explained_var,0.32102426769617376
polaris/pkis2-egfr-wt-reg-v2,43,mean_absolute_error,19.00920131605929
polaris/pkis2-egfr-wt-reg-v2,43,r2,0.31633243036368097
polaris/pkis2-egfr-wt-reg-v2,118,mean_squared_error,601.0733705163568
polaris/pkis2-egfr-wt-reg-v2,118,pearsonr,0.5407290426054849
polaris/pkis2-egfr-wt-reg-v2,118,spearmanr,0.31830831461210224
polaris/pkis2-egfr-wt-reg-v2,118,explained_var,0.2630326458291756
polaris/pkis2-egfr-wt-reg-v2,118,mean_absolute_error,19.717997516965273
polaris/pkis2-egfr-wt-reg-v2,118,r2,0.25403711954792474
polaris/pkis2-egfr-wt-reg-v2,710,mean_squared_error,557.3884656446642
polaris/pkis2-egfr-wt-reg-v2,710,pearsonr,0.5707714971752265
polaris/pkis2-egfr-wt-reg-v2,710,spearmanr,0.3329591947013411
polaris/pkis2-egfr-wt-reg-v2,710,explained_var,0.30898047790885086
polaris/pkis2-egfr-wt-reg-v2,710,mean_absolute_error,18.653229012909538
polaris/pkis2-egfr-wt-reg-v2,710,r2,0.30825232698985205
polaris/pkis2-kit-wt-cls-v2,43,mcc,0.5632951168264843
polaris/pkis2-kit-wt-cls-v2,43,pr_auc,0.7121009198364072
polaris/pkis2-kit-wt-cls-v2,43,accuracy,0.8793103448275862
polaris/pkis2-kit-wt-cls-v2,43,f1,0.6111111111111112
