arm,run_id,seed,wave,dataset,task_type,metric,cv_value,n_folds
shuffle_tokens,corrupt_mlm_8M_s2,2,climb_v2_expA,Tox21,classification,roc_auc,0.7804903921752266,5
unigram_resample,unigram_8M,0,climb_v2_expA,BACE,classification,roc_auc,0.817666922285959,5
unigram_resample,unigram_8M,0,climb_v2_expA,BBBP,classification,roc_auc,0.9355233017294774,5
unigram_resample,unigram_8M,0,climb_v2_expA,ESOL,regression,rmse,1.427784538269043,5
unigram_resample,unigram_8M,0,climb_v2_expA,HIV,classification,roc_auc,0.7467828140825027,5
unigram_resample,unigram_8M,0,climb_v2_expA,HIV,classification,nef1,0.5590361445783133,5
unigram_resample,unigram_8M,0,climb_v2_expA,Lipophilicity,regression,rmse,0.9969935894012452,5
unigram_resample,unigram_8M,0,climb_v2_expA,QM7,regression,rmse,206.0727783203125,5
unigram_resample,unigram_8M,0,climb_v2_expA,Tox21,classification,roc_auc,0.7669371630642436,5
unigram_resample,unigram_8M_s1,1,climb_v2_expA,BACE,classification,roc_auc,0.8154629495750706,5
unigram_resample,unigram_8M_s1,1,climb_v2_expA,BBBP,classification,roc_auc,0.9407779176297819,5
unigram_resample,unigram_8M_s1,1,climb_v2_expA,ESOL,regression,rmse,1.2824708700180054,5
unigram_resample,unigram_8M_s1,1,climb_v2_expA,HIV,classification,roc_auc,0.7471892685237048,5
unigram_resample,unigram_8M_s1,1,climb_v2_expA,HIV,classification,nef1,0.5710843373493976,5
unigram_resample,unigram_8M_s1,1,climb_v2_expA,Lipophilicity,regression,rmse,0.9852466344833374,5
unigram_resample,unigram_8M_s1,1,climb_v2_expA,QM7,regression,rmse,204.64907836914062,5
unigram_resample,unigram_8M_s1,1,climb_v2_expA,Tox21,classification,roc_auc,0.7689830396515512,5
unigram_resample,unigram_8M_s2,2,climb_v2_expA,BACE,classification,roc_auc,0.8146301703704351,5
unigram_resample,unigram_8M_s2,2,climb_v2_expA,BBBP,classification,roc_auc,0.9392298796622267,5
unigram_resample,unigram_8M_s2,2,climb_v2_expA,ESOL,regression,rmse,1.4394851922988892,5
unigram_resample,unigram_8M_s2,2,climb_v2_expA,HIV,classification,roc_auc,0.7471953317285591,5
