arm,task,task_type,metric,split,fraction,pct,n_train,mean,std,n_cells
random,BACE,classification,nef1,test,0.05,5,60,0.7222222222222222,0.36324157862838946,9
random,BACE,classification,nef1,test,0.1,10,121,1.0,0.0,9
random,BACE,classification,nef1,test,0.25,25,302,0.8333333333333334,0.3535533905932738,9
random,BACE,classification,nef1,test,0.5,50,605,0.9444444444444444,0.16666666666666666,9
random,BACE,classification,nef1,test,1.0,100,1210,1.0,0.0,3
random,BACE,classification,roc_auc,test,0.05,5,60,0.6467995169082126,0.06592081150531306,9
random,BACE,classification,roc_auc,test,0.1,10,121,0.6885668276972625,0.035871788976921296,9
random,BACE,classification,roc_auc,test,0.25,25,302,0.6569847020933978,0.02878014192210414,9
random,BACE,classification,roc_auc,test,0.5,50,605,0.6837359098228664,0.01694392148865372,9
random,BACE,classification,roc_auc,test,1.0,100,1210,0.6759057971014494,0.04518393411049242,3
random,BACE,classification,roc_auc,train,0.05,5,60,0.8579340729412466,0.03098389175515356,9
random,BACE,classification,roc_auc,train,0.1,10,121,0.8361328929853119,0.050987748880288807,9
random,BACE,classification,roc_auc,train,0.25,25,302,0.8800180025790197,0.04144537633753176,9
random,BACE,classification,roc_auc,train,0.5,50,605,0.9003647362548731,0.012479818807095134,9
random,BACE,classification,roc_auc,train,1.0,100,1210,0.8728187935088823,0.028197257727316072,3
random,BBBP,classification,nef1,test,0.05,5,82,0.6296296296296295,0.1111111111111111,9
random,BBBP,classification,nef1,test,0.1,10,163,0.6296296296296295,0.20030840419244383,9
random,BBBP,classification,nef1,test,0.25,25,408,0.7407407407407407,0.1469861839480328,9
random,BBBP,classification,nef1,test,0.5,50,816,0.7407407407407407,0.1469861839480328,9
random,BBBP,classification,nef1,test,1.0,100,1631,0.7777777777777777,0.19245008972987526,3
random,BBBP,classification,roc_auc,test,0.05,5,82,0.6263288049587308,0.044221394687788546,9
random,BBBP,classification,roc_auc,test,0.1,10,163,0.6335442292663606,0.022774125253064638,9
random,BBBP,classification,roc_auc,test,0.25,25,408,0.6602220295254306,0.02580887911049689,9
random,BBBP,classification,roc_auc,test,0.5,50,816,0.6900365053366306,0.02088685918036905,9
random,BBBP,classification,roc_auc,test,1.0,100,1631,0.7234801040562674,0.0037846650624149478,3
random,BBBP,classification,roc_auc,train,0.05,5,82,0.9712729551795094,0.018975141456732045,9
random,BBBP,classification,roc_auc,train,0.1,10,163,0.9611673963919003,0.02366473206801606,9
random,BBBP,classification,roc_auc,train,0.25,25,408,0.9670816931662779,0.015241905322964402,9
random,BBBP,classification,roc_auc,train,0.5,50,816,0.9812363917901236,0.008058238451250971,9
random,BBBP,classification,roc_auc,train,1.0,100,1631,0.9829574772643506,0.0022175915370684805,3
random,ESOL,regression,rmse,test,0.05,5,45,1.59349348809984,0.17549520138433083,9
random,ESOL,regression,rmse,test,0.1,10,90,1.3418667316436768,0.12228280470794871,9
random,ESOL,regression,rmse,test,0.25,25,226,1.334117717213101,0.062201286376652384,9
random,ESOL,regression,rmse,test,0.5,50,451,1.3235638406541612,0.07037764829867693,9
random,ESOL,regression,rmse,test,1.0,100,902,1.31929349899292,0.03172398298154498,3
random,ESOL,regression,rmse,train,0.05,5,45,0.5903335048092736,0.24093652001218233,9
random,ESOL,regression,rmse,train,0.1,10,90,0.5513227747546302,0.1373222997273723,9
random,ESOL,regression,rmse,train,0.25,25,226,0.5614528258641561,0.06448403724460972,9
random,ESOL,regression,rmse,train,0.5,50,451,0.7982409728897942,0.13035028672543894,9
random,ESOL,regression,rmse,train,1.0,100,902,0.960129956404368,0.025308010580975145,3
random,HIV,classification,nef1,test,0.05,5,1645,0.291005291005291,0.12529883653846782,9
random,HIV,classification,nef1,test,0.1,10,3290,0.34391534391534395,0.04310627179047705,9
random,HIV,classification,nef1,test,0.25,25,8224,0.35714285714285715,0.050507627227610534,9
random,HIV,classification,nef1,test,0.5,50,16448,0.4312169312169312,0.07476763365641578,9
random,HIV,classification,nef1,test,1.0,100,32896,0.4920634920634921,0.04956347617776508,3
random,HIV,classification,roc_auc,test,0.05,5,1645,0.693649521135709,0.015306276564083876,9
random,HIV,classification,roc_auc,test,0.1,10,3290,0.708752420078387,0.013679955230314,9
random,HIV,classification,roc_auc,test,0.25,25,8224,0.7241660120113159,0.009987107339553467,9
random,HIV,classification,roc_auc,test,0.5,50,16448,0.7439481942244374,0.014334733555293577,9
random,HIV,classification,roc_auc,test,1.0,100,32896,0.7580857448260764,0.003093189089055523,3
random,HIV,classification,roc_auc,train,0.05,5,1645,0.8975125134741931,0.02761776728040047,9
