scheme,family,task,metric,arm,point,is_leader,leader,ci_lo,ci_hi,vl_delta,vl_ci_lo,vl_ci_hi,vl_boot_p,bf_boot_p,bf_ci_lo,be_boot_p,be_ci_lo,vl_boot_q,bf_boot_q,be_boot_q,cobest,beats_frozen,beats_e2e
cv,full,HIV,nef1,sup_only:dense_plus_sparse,0.6642570281124498,False,fp_desc,,,-0.07038834951456308,-0.13404020113199927,-0.009647617480429773,0.03,0.0,0.16189360119047616,0.0,0.14250582991041014,0.03506493506493506,0.0,0.0,False,True,True
cv,full,HIV,nef1,unsup2sup:dense_plus_sparse,0.43534136546184743,False,fp_desc,,,-0.2961165048543689,-0.361336531103604,-0.22040958491990367,0.0,0.592,-0.06219180996720983,0.984,-0.08229501911081857,0.0,0.6744303797468354,0.984,False,False,False
cv,full,HIV,nef1,sup_only:minimol_full,0.5694779116465863,False,fp_desc,,,-0.18446601941747576,-0.24001736972704713,-0.13228055412413525,0.0,0.002,0.05477081138040042,0.004,0.032328704868177335,0.0,0.00375,0.007659574468085106,False,True,True
cv,full,HIV,nef1,unsup2sup:minimol_full,0.5365461847389558,False,fp_desc,,,-0.191747572815534,-0.2639666237079509,-0.1355834918713249,0.0,0.004,0.040769944341372905,0.028,0.014911526094324928,0.0,0.006923076923076922,0.04421052631578947,False,True,True
cv,full,HIV,nef1,sup_only:mixed,0.6626506024096387,False,fp_desc,,,-0.043689320388349495,-0.09068582550950316,-0.002432071386162816,0.04,0.0,0.1922846889952153,0.0,0.1748041066024535,0.046153846153846156,0.0,0.0,False,True,True
cv,full,HIV,nef1,unsup2sup:mixed,0.6297188755020081,False,fp_desc,,,-0.10194174757281549,-0.17812421603411824,-0.05621773974463472,0.0,0.0,0.13521739130434776,0.0,0.09275261199370259,0.0,0.0,0.0,False,True,True
holdout,full,ESOL,rmse,ecfp4,1.6032458543777466,False,fp_desc,1.4017544626471028,1.7902248774397382,,,,,,,,,,,,False,False,False
holdout,full,ESOL,rmse,fp_desc,0.8794967333475748,True,fp_desc,0.7494413728930384,0.9842862056605264,,,,,,,,,,,,True,False,False
holdout,full,ESOL,rmse,chemeleon_e2e,,False,fp_desc,,,,,,,,,,,,,,False,False,False
holdout,full,ESOL,rmse,no_pretrain,1.3303842147191365,False,fp_desc,1.1405221044674472,1.4628732307464465,,,,,,,,,,,,False,False,False
holdout,full,ESOL,rmse,no_pretrain_e2e,1.1570425050675868,False,fp_desc,1.034214525328581,1.2992721063776664,,,,,,,,,,,,False,False,False
holdout,full,ESOL,rmse,unsup_only,1.003203848997752,False,fp_desc,0.8459866408130031,1.1181915429862859,,,,,,,,,,,,False,False,False
holdout,full,ESOL,rmse,sup_only:dense,0.963371753692627,False,fp_desc,0.7998024837981903,1.0480196423889443,,,,,,,,,,,,False,False,False
holdout,full,ESOL,rmse,unsup2sup:dense,1.0942630502912731,False,fp_desc,0.8858230885410812,1.195955719093556,,,,,,,,,,,,False,False,False
holdout,full,ESOL,rmse,sup_only:sparse_all,1.1621601184209187,False,fp_desc,1.0296902781790784,1.3788409326368245,,,,,,,,,,,,False,False,False
holdout,full,ESOL,rmse,unsup2sup:sparse_all,1.2465497387780085,False,fp_desc,1.0912399504075836,1.3627619627099683,,,,,,,,,,,,False,False,False
holdout,full,ESOL,rmse,sup_only:dense_plus_sparse,0.94167117940055,False,fp_desc,0.7387610059152374,1.119677786476277,,,,,,,,,,,,False,False,False
holdout,full,ESOL,rmse,unsup2sup:dense_plus_sparse,1.407030277782016,False,fp_desc,1.2554965556274882,1.5818215713263135,,,,,,,,,,,,False,False,False
holdout,full,ESOL,rmse,sup_only:minimol_full,1.1239091555277507,False,fp_desc,0.96290969387262,1.2632061866201,,,,,,,,,,,,False,False,False
