arm,task,metric,seed_mean,seed_std,fold_std_s0,s0,s1,s2
unsup_only,ESOL,rmse,0.5034392635027568,0.015683419296546586,0.0508668844208712,0.4902851223945618,0.5254818081855774,0.4945508599281311
unsup_only,QM7,rmse,0.8714276750882467,0.0030371666789996265,0.0363391409658892,0.8743471622467041,0.8726963043212891,0.8672395586967468
unsup_only,BBBP,roc_auc,0.9503418103260691,0.003425724952400451,0.0073958413559755,0.9535518815103003,0.94559432832735,0.9518792211405568
unsup_only,BACE,roc_auc,0.8581090508557176,0.011470109098321534,0.022126108408071,0.8694014834088846,0.8625477653853038,0.8423779037729645
unsup_only,Tox21,roc_auc,0.771205936410496,0.0033592695105326776,0.0328434126521373,0.7751658689596657,0.7714989061493333,0.7669530341224889
unsup_only,HIV,roc_auc,0.7688657407319218,0.007136835808895296,0.0341291564623634,0.7789250100550886,0.7645502233980176,0.7631219887426592
unsup_only,HIV,nef1,0.661847389558233,0.014232967989292671,0.0919459471245249,0.6819277108433736,0.6506024096385542,0.6530120481927711
sup_only:dense,ESOL,rmse,0.42928472359975184,0.008316600637676226,0.0627631205288533,0.4391497611999512,0.4298983335494995,0.4188060760498047
sup_only:dense,QM7,rmse,0.8506560365358989,0.0008195397510063478,0.0218639829569503,0.8507954359054566,0.8495898962020874,0.8515827775001525
sup_only:dense,BBBP,roc_auc,0.9429678242119586,0.001972906442359016,0.0051767834974528,0.9404260871625432,0.94523529663199,0.9432420888413422
sup_only:dense,BACE,roc_auc,0.8489986839873844,0.0036240586002339666,0.0239898203920526,0.8484507001414132,0.8536857798503776,0.8448595719703624
sup_only:dense,Tox21,roc_auc,0.7712438147432046,0.000532670663829644,0.0324031493078637,0.77050633267084,0.7714795249601655,0.7717455865986083
sup_only:dense,HIV,roc_auc,0.7687701909015358,0.0030729677996552784,0.0325220703128147,0.7723962112244791,0.7648826496822636,0.7690317117978642
sup_only:dense,HIV,nef1,0.6473895582329318,0.008871775917419443,0.0941302408897571,0.6578313253012048,0.6481927710843374,0.6361445783132531
sup_only:mixed,ESOL,rmse,0.42536158363024396,0.026038125679737366,0.0357402174362819,0.4621772229671478,0.4076114177703857,0.4062961101531982
sup_only:mixed,QM7,rmse,0.8613563378651937,0.0011559479148321118,0.0289011569534588,0.8624029040336609,0.8619206428527832,0.859745466709137
sup_only:mixed,BBBP,roc_auc,0.9415677042936776,0.0012596859215170027,0.0076633744852032,0.9400769862601508,0.9431577719819312,0.941468354638951
sup_only:mixed,BACE,roc_auc,0.8275219468747256,0.006203108100058249,0.0382073383588014,0.8201393784890408,0.8353170205571164,0.8271094415780196
sup_only:mixed,Tox21,roc_auc,0.7941304496729376,0.0016571645087575869,0.0238290021195466,0.7961877081489226,0.794073960849633,0.7921296800202572
sup_only:mixed,HIV,roc_auc,0.7796958050372244,0.006425174482995342,0.0307526529992779,0.7745405512058461,0.7887535414547621,0.7757933224510654
sup_only:mixed,HIV,nef1,0.6626506024096387,0.008575966467495054,0.0604814477012584,0.674698795180723,0.655421686746988,0.6578313253012048
unsup->sup:dense,ESOL,rmse,0.4635592917601268,0.017438532533603085,0.0547212097368718,0.4421906411647797,0.484906131029129,0.4635811030864715
unsup->sup:dense,QM7,rmse,0.8560281674067179,0.005424272900094332,0.0230992793258996,0.8507699608802796,0.8634943723678589,0.8538201689720154
unsup->sup:dense,BBBP,roc_auc,0.9427216018581306,0.002040281442683797,0.0065733063306683,0.9440208805694904,0.9443031121322816,0.9398408128726196
unsup->sup:dense,BACE,roc_auc,0.8301774227196402,0.009248894756948126,0.0242070724485457,0.8358815417013847,0.8171317205374024,0.8375190059201334
unsup->sup:dense,Tox21,roc_auc,0.7680809278292232,0.0011384190054649598,0.039850353062553,0.7666096958621929,0.7682503246657673,0.7693827629597095
unsup->sup:dense,HIV,roc_auc,0.770530453292273,0.006022100823892124,0.0407701952551083,0.774061586680944,0.7754765831229035,0.7620531900729712
unsup->sup:dense,HIV,nef1,0.6289156626506024,0.010223230571371799,0.1006871441724153,0.6433734939759036,0.6216867469879518,0.6216867469879517
