task,model,subset,mean,std,n_seeds,source
CHEMBL262_Ki,ecfp4,overall,0.8096219811985403,0.0033761147086251745,3,ours
CHEMBL262_Ki,ecfp4,cliff,0.8126056185147954,0.0016061903842971618,3,ours
CHEMBL262_Ki,ecfp4,noncliff,0.8089419297866126,0.003954102048109546,3,ours
CHEMBL264_Ki,ecfp4,overall,0.7127384664421269,0.0006177624405759494,3,ours
CHEMBL264_Ki,ecfp4,cliff,0.7311655434084419,0.0011457603473890876,3,ours
CHEMBL264_Ki,ecfp4,noncliff,0.6992942425594441,0.0010693198462855703,3,ours
CHEMBL2835_Ki,ecfp4,overall,0.46693873041584555,0.002638572865586002,3,ours
CHEMBL2835_Ki,ecfp4,cliff,0.8824643048079885,0.004252298722210316,3,ours
CHEMBL2835_Ki,ecfp4,noncliff,0.3918220950409222,0.0025054213331814346,3,ours
CHEMBL287_Ki,ecfp4,overall,0.757895818557074,0.0018395512494003604,3,ours
CHEMBL287_Ki,ecfp4,cliff,0.8162084399407367,0.0016536855330922294,3,ours
CHEMBL287_Ki,ecfp4,noncliff,0.7188579063508118,0.002117771110980711,3,ours
CHEMBL2971_Ki,ecfp4,overall,0.7182077245161709,0.007666176155294563,3,ours
CHEMBL2971_Ki,ecfp4,cliff,0.7562811172832655,0.007867532046944273,3,ours
CHEMBL2971_Ki,ecfp4,noncliff,0.7099883769251466,0.009328760689192259,3,ours
CHEMBL3979_EC50,ecfp4,overall,0.6689815662548654,0.0037778158899560085,3,ours
CHEMBL3979_EC50,ecfp4,cliff,0.7764148796109136,0.00582679468976502,3,ours
CHEMBL3979_EC50,ecfp4,noncliff,0.5804744106242813,0.0022835660999934084,3,ours
CHEMBL4005_Ki,ecfp4,overall,0.6907396774457663,0.0016856291367301475,3,ours
CHEMBL4005_Ki,ecfp4,cliff,0.7896128232024784,0.0012711220083670648,3,ours
CHEMBL4005_Ki,ecfp4,noncliff,0.6093137021575056,0.002656727117303925,3,ours
CHEMBL4203_Ki,ecfp4,overall,0.9331971984495642,0.003792754172737335,3,ours
CHEMBL4203_Ki,ecfp4,cliff,1.0664553880650995,0.0032258507583941562,3,ours
CHEMBL4203_Ki,ecfp4,noncliff,0.9194484604791905,0.003860050501940583,3,ours
CHEMBL4616_EC50,ecfp4,overall,0.6919843971796638,0.0023303130902029494,3,ours
CHEMBL4616_EC50,ecfp4,cliff,0.7532718242149119,0.0022165141027898003,3,ours
CHEMBL4616_EC50,ecfp4,noncliff,0.6171441581952808,0.0033216583056356673,3,ours
CHEMBL4792_Ki,ecfp4,overall,0.6731069171469958,0.0010894386581071034,3,ours
CHEMBL4792_Ki,ecfp4,cliff,0.685663589086314,0.002210067024666245,3,ours
CHEMBL4792_Ki,ecfp4,noncliff,0.6581202898598092,0.004634322138063834,3,ours
CHEMBL1862_Ki,CheMeleon,overall,0.751691,0.027206024965069776,5,reference
CHEMBL1862_Ki,CheMeleon,noncliff,0.7501102000000001,0.017342818714384322,5,reference
CHEMBL1862_Ki,CheMeleon,cliff,0.7527986,0.05497133366619368,5,reference
CHEMBL1862_Ki,Chemprop,overall,0.954384,0.042784423090653015,5,reference
CHEMBL1862_Ki,Chemprop,noncliff,1.0001347999999999,0.03754256185930845,5,reference
CHEMBL1862_Ki,Chemprop,cliff,0.8859388,0.05405365563733871,5,reference
CHEMBL1862_Ki,Chemprop_Mordred,overall,0.8277428,0.01259162581083156,5,reference
CHEMBL1862_Ki,Chemprop_Mordred,noncliff,0.867228,0.016403326040775986,5,reference
CHEMBL1862_Ki,Chemprop_Mordred,cliff,0.7685136,0.025553165139371687,5,reference
CHEMBL1862_Ki,MLP_PLR_Pretrained,overall,0.8091836,0.009958344432685597,5,reference
CHEMBL1862_Ki,MLP_PLR_Pretrained,noncliff,0.7919396,0.00884885942028689,5,reference
CHEMBL1862_Ki,MLP_PLR_Pretrained,cliff,0.8327052,0.01566208971242343,5,reference
CHEMBL1862_Ki,MoLFormer,overall,0.8004604,0.01127411741290642,5,reference
CHEMBL1862_Ki,MoLFormer,noncliff,0.7959588,0.00998577434954346,5,reference
CHEMBL1862_Ki,MoLFormer,cliff,0.8065966,0.019641830144871912,5,reference
CHEMBL1862_Ki,MolCLR,overall,1.0232151999999999,0.017392846798612333,5,reference
CHEMBL1862_Ki,MolCLR,noncliff,1.0759896,0.024091469383165465,5,reference
CHEMBL1862_Ki,MolCLR,cliff,0.9441032,0.011059453212523657,5,reference
CHEMBL1862_Ki,PCA_MLP,overall,0.8087154,0.01668073023101804,5,reference
CHEMBL1862_Ki,PCA_MLP,noncliff,0.8121012,0.013114493255936352,5,reference
CHEMBL1862_Ki,PCA_MLP,cliff,0.8037938,0.025776621814349514,5,reference
CHEMBL1862_Ki,PCA_MLP_Prefitted,overall,0.7889374,0.006008971246394836,5,reference
CHEMBL1862_Ki,PCA_MLP_Prefitted,noncliff,0.79921,0.00886352067747348,5,reference
CHEMBL1862_Ki,PCA_MLP_Prefitted,cliff,0.7740076,0.020535884384170075,5,reference
CHEMBL1862_Ki,RF,overall,0.7493362,0.0016620637051569377,5,reference
CHEMBL1862_Ki,RF,noncliff,0.719334,0.006331543350558363,5,reference
CHEMBL1862_Ki,RF,cliff,0.7894402,0.007738783739063908,5,reference
CHEMBL1862_Ki,RF_Mordred,overall,0.7686566,0.006059053081134049,5,reference
CHEMBL1862_Ki,RF_Mordred,noncliff,0.7417196,0.00880175199832398,5,reference
CHEMBL1862_Ki,RF_Mordred,cliff,0.8048801999999999,0.007793834855833154,5,reference
CHEMBL1862_Ki,RF_Morgan,overall,0.7759494,0.008865155782049158,5,reference
CHEMBL1862_Ki,RF_Morgan,noncliff,0.8321644,0.007884070436012103,5,reference
CHEMBL1862_Ki,RF_Morgan,cliff,0.6893391999999999,0.01340002694624155,5,reference
CHEMBL1862_Ki,fastprop,overall,0.7808912,0.012243886742370652,5,reference
CHEMBL1862_Ki,fastprop,noncliff,0.7810585999999999,0.018637979499935065,5,reference
CHEMBL1862_Ki,fastprop,cliff,0.7801588,0.0254875478490968,5,reference
CHEMBL1862_Ki,minimol,overall,0.7480758,0.030654025950272824,5,reference
CHEMBL1862_Ki,minimol,noncliff,0.7548238,0.034127156274146246,5,reference
CHEMBL1862_Ki,minimol,cliff,0.7376404,0.043577901315230864,5,reference
CHEMBL1871_Ki,CheMeleon,overall,0.6401178,0.043148414188241044,5,reference
