task,model,metric,mean,std,n_seeds,source,leak_flag
polaris/adme-fang-hclint-1,fp_desc,pearsonr,0.7073366859436337,0.001272567686574133,3,ours,False
polaris/adme-fang-hppb-1,fp_desc,pearsonr,0.7902252939597839,0.011358506783484518,3,ours,False
polaris/adme-fang-perm-1,fp_desc,pearsonr,0.7869097973163498,0.004485796478127376,3,ours,False
polaris/adme-fang-rclint-1,fp_desc,pearsonr,0.7164593194111545,0.002793141696552792,3,ours,False
polaris/adme-fang-rppb-1,fp_desc,pearsonr,0.7886856716306777,0.04115172123396458,3,ours,False
polaris/adme-fang-solu-1,fp_desc,pearsonr,0.5758695524984792,0.005372614203678103,3,ours,False
polaris/pkis2-egfr-wt-reg-v2,fp_desc,mean_squared_error,514.229765563102,21.415881965816688,3,ours,False
polaris/pkis2-kit-wt-cls-v2,fp_desc,pr_auc,0.6274741029388496,0.022800055040090104,3,ours,False
polaris/pkis2-kit-wt-reg-v2,fp_desc,mean_squared_error,879.9280605218871,9.40716864090788,3,ours,False
polaris/pkis2-ret-wt-cls-v2,fp_desc,pr_auc,0.5736335381138947,0.004647345126839185,3,ours,False
polaris/pkis2-ret-wt-reg-v2,fp_desc,mean_squared_error,695.2457440142657,8.11611939953494,3,ours,False
tdcommons/ames,fp_desc,roc_auc,0.8702053430979002,0.0030528387442207245,3,ours,True
tdcommons/bbb-martins,fp_desc,roc_auc,0.8999895768188451,0.0013676081584059906,3,ours,True
tdcommons/bioavailability-ma,fp_desc,roc_auc,0.7337324021727081,0.0022114995392151647,3,ours,False
tdcommons/caco2-wang,fp_desc,mean_absolute_error,0.2688074613248584,0.006576452316265726,3,ours,False
tdcommons/clearance-hepatocyte-az,fp_desc,spearmanr,0.40764692599877217,0.0530548737647082,3,ours,False
tdcommons/clearance-microsome-az,fp_desc,spearmanr,0.5601756161909393,0.015938295477622877,3,ours,False
tdcommons/cyp2c9-substrate-carbonmangels,fp_desc,pr_auc,0.35139603779313816,0.010306512346063704,3,ours,False
tdcommons/cyp2d6-substrate-carbonmangels,fp_desc,pr_auc,0.6318844653888187,0.012571508880017004,3,ours,False
tdcommons/cyp3a4-substrate-carbonmangels,fp_desc,roc_auc,0.6531419529837251,0.00860140035734197,3,ours,False
tdcommons/dili,fp_desc,roc_auc,0.9182608695652174,0.003839896028838217,3,ours,False
tdcommons/half-life-obach,fp_desc,spearmanr,0.282310450431268,0.017990580856779095,3,ours,False
tdcommons/herg,fp_desc,roc_auc,0.8070201276386842,0.014147299901485147,3,ours,False
tdcommons/ld50-zhu,fp_desc,mean_absolute_error,0.6020811714655367,0.008495267233759375,3,ours,True
tdcommons/lipophilicity-astrazeneca,fp_desc,mean_absolute_error,0.5288470463737783,0.007408765107712527,3,ours,False
tdcommons/pgp-broccatelli,fp_desc,roc_auc,0.9229316626677331,0.0024921894005830326,3,ours,True
tdcommons/ppbr-az,fp_desc,mean_absolute_error,8.452361869447413,0.05991935692966857,3,ours,False
tdcommons/vdss-lombardo,fp_desc,spearmanr,0.44974606687811214,0.029384367304773992,3,ours,True
polaris/adme-fang-hclint-1,random_baseline_00,pearsonr,0.5177670859247191,0.0040550566268924134,3,ours,False
polaris/adme-fang-hppb-1,random_baseline_00,pearsonr,0.4690856812393151,0.01024880326432566,3,ours,False
polaris/adme-fang-perm-1,random_baseline_00,pearsonr,0.5235223899329249,0.002240687114269715,3,ours,False
polaris/adme-fang-rclint-1,random_baseline_00,pearsonr,0.5245678658459135,0.006301471031824952,3,ours,False
polaris/adme-fang-rppb-1,random_baseline_00,pearsonr,0.328200887333724,0.028452696923798,3,ours,False
polaris/adme-fang-solu-1,random_baseline_00,pearsonr,0.42917883146811303,0.0016459035654321852,3,ours,False
polaris/pkis2-egfr-wt-reg-v2,random_baseline_00,mean_squared_error,667.8011245805407,14.420956037116824,3,ours,False
polaris/pkis2-kit-wt-cls-v2,random_baseline_00,pr_auc,0.4782185471105719,0.031816900968370955,3,ours,False
polaris/pkis2-kit-wt-reg-v2,random_baseline_00,mean_squared_error,1081.949327823109,12.618548014872012,3,ours,False
polaris/pkis2-ret-wt-cls-v2,random_baseline_00,pr_auc,0.6164453926220934,0.007846848702905659,3,ours,False
polaris/pkis2-ret-wt-reg-v2,random_baseline_00,mean_squared_error,900.5401424772948,48.701697508471426,3,ours,False
tdcommons/ames,random_baseline_00,roc_auc,0.7691205362679251,0.0029833844549236634,3,ours,True
tdcommons/bbb-martins,random_baseline_00,roc_auc,0.8271966854283928,0.0034495553069973,3,ours,True
tdcommons/bioavailability-ma,random_baseline_00,roc_auc,0.5471677197649928,0.009780177363978581,3,ours,False
tdcommons/caco2-wang,random_baseline_00,mean_absolute_error,0.5472503307763701,0.027601826176498395,3,ours,False
tdcommons/clearance-hepatocyte-az,random_baseline_00,spearmanr,0.39759876002018435,0.009943904563032912,3,ours,False
tdcommons/clearance-microsome-az,random_baseline_00,spearmanr,0.45748470154492626,0.01658690362100955,3,ours,False
tdcommons/cyp2c9-substrate-carbonmangels,random_baseline_00,pr_auc,0.4111040676265604,0.04285695072786364,3,ours,False
tdcommons/cyp2d6-substrate-carbonmangels,random_baseline_00,pr_auc,0.6405553625039511,0.020455441794387557,3,ours,False
tdcommons/cyp3a4-substrate-carbonmangels,random_baseline_00,roc_auc,0.6455696202531646,0.016851716835095683,3,ours,False
tdcommons/dili,random_baseline_00,roc_auc,0.7901449275362319,0.0025185720575337995,3,ours,False
tdcommons/half-life-obach,random_baseline_00,spearmanr,0.14034978689746552,0.061880115321376154,3,ours,False
tdcommons/herg,random_baseline_00,roc_auc,0.657486499754541,0.005773663398326639,3,ours,False
tdcommons/ld50-zhu,random_baseline_00,mean_absolute_error,0.6692480809092406,0.0032862550574508996,3,ours,True
tdcommons/lipophilicity-astrazeneca,random_baseline_00,mean_absolute_error,0.7394027561565395,0.010971815843006516,3,ours,False
tdcommons/pgp-broccatelli,random_baseline_00,roc_auc,0.8999822269616992,0.002025463666585149,3,ours,True
tdcommons/ppbr-az,random_baseline_00,mean_absolute_error,11.311307725943063,0.03824687472745163,3,ours,False
tdcommons/vdss-lombardo,random_baseline_00,spearmanr,0.12484112337185628,0.040106496707768086,3,ours,True
polaris/adme-fang-hclint-1,skip_dense_8M,pearsonr,0.5867712750173403,0.006523195260457759,3,ours,False
polaris/adme-fang-hppb-1,skip_dense_8M,pearsonr,0.5513759987922536,0.019762724954457148,3,ours,False
polaris/adme-fang-perm-1,skip_dense_8M,pearsonr,0.6914578809417951,0.003775176512518736,3,ours,False
polaris/adme-fang-rclint-1,skip_dense_8M,pearsonr,0.6053131334717302,0.008969799693349984,3,ours,False
polaris/adme-fang-rppb-1,skip_dense_8M,pearsonr,0.7988880311500293,0.01746874809844991,3,ours,False
polaris/adme-fang-solu-1,skip_dense_8M,pearsonr,0.4613271290292973,0.002518444009742254,3,ours,False
polaris/pkis2-egfr-wt-reg-v2,skip_dense_8M,mean_squared_error,609.7526152489326,24.138778541456794,3,ours,False
polaris/pkis2-kit-wt-cls-v2,skip_dense_8M,pr_auc,0.4472667727860384,0.033942678969659294,3,ours,False
polaris/pkis2-kit-wt-reg-v2,skip_dense_8M,mean_squared_error,1041.3811428574477,9.20922869562974,3,ours,False
polaris/pkis2-ret-wt-cls-v2,skip_dense_8M,pr_auc,0.7224429025859855,0.008382072933136867,3,ours,False
polaris/pkis2-ret-wt-reg-v2,skip_dense_8M,mean_squared_error,689.1684670388926,14.336664792418844,3,ours,False
tdcommons/ames,skip_dense_8M,roc_auc,0.8151344259727036,0.007802654183971385,3,ours,True
tdcommons/bbb-martins,skip_dense_8M,roc_auc,0.9000156347717324,0.006255211454887142,3,ours,True
tdcommons/bioavailability-ma,skip_dense_8M,roc_auc,0.7556811883383217,0.006552496045286162,3,ours,False
tdcommons/caco2-wang,skip_dense_8M,mean_absolute_error,0.3862750659937336,0.02055057786911023,3,ours,False
tdcommons/clearance-hepatocyte-az,skip_dense_8M,spearmanr,0.3849038742205641,0.02470998510606926,3,ours,False
tdcommons/clearance-microsome-az,skip_dense_8M,spearmanr,0.5734771645516762,0.01083070118648805,3,ours,False
tdcommons/cyp2c9-substrate-carbonmangels,skip_dense_8M,pr_auc,0.4086240983800503,0.004991112107898862,3,ours,False
